movie_title,title_year,is_color,aspect_ratio,duration_in_mins,language,country,budget,gross,movie_facebook_likes,cast_total_facebook_likes,movie_imdb_link,director_name,actor_1_name,actor_2_name,actor_3_name
Who's Your Caddy?,2007,1,1.85,93,English,USA,7000000,5694308,446,3128,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,Don Michael Paul,Jeffrey Jones,Faizon Love,Lil' Wayne
Road Hard,2015,1,,98,English,USA,1500000,105943,212,2628,http://www.imdb.com/title/tt3110770/?ref_=fn_tt_tt_1,Adam Carolla,Jay Mohr,Jim O'Heir,David Alan Grier
17 Again,2009,1,2.35,102,English,USA,20000000,64149837,0,7009,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,Burr Steers,Matthew Perry,Hunter Parrish,Thomas Lennon
BloodRayne,2005,1,2.35,92,English,USA,25000000,1550000,937,2930,http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1,Uwe Boll,Meat Loaf,Udo Kier,Michael Paré
Million Dollar Arm,2014,1,2.39,124,English,USA,25000000,36447959,10000,6393,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,Craig Gillespie,Jon Hamm,Suraj Sharma,Gregory Alan Williams
Judgment at Nuremberg,1961,0,1.75,186,English,USA,3000000,,0,3847,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,Stanley Kramer,Maximilian Schell,Montgomery Clift,Spencer Tracy
Kick-Ass 2,2013,1,2.35,103,English,USA,28000000,28751715,36000,19168,http://www.imdb.com/title/tt1650554/?ref_=fn_tt_tt_1,Jeff Wadlow,Chloë Grace Moretz,Donald Faison,Augustus Prew
Pushing Tin,1999,1,2.35,124,English,USA,38000000,8406264,783,13093,http://www.imdb.com/title/tt0120797/?ref_=fn_tt_tt_1,Mike Newell,Angelina Jolie Pitt,Kurt Fuller,Jake Weber
The Chambermaid on the Titanic,1997,1,2.35,101,French,France,,244465,85,1019,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,Bigas Luna,Olivier Martinez,Aitana Sánchez-Gijón,Romane Bohringer
What's Eating Gilbert Grape,1993,1,1.85,118,English,USA,11000000,9170214,14000,69746,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Kevin Tighe
Good Luck Chuck,2007,1,1.85,101,English,USA,25000000,35000629,0,2822,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,Mark Helfrich,Dane Cook,Dan Fogler,Chelan Simmons
Joyeux Noel,2005,1,2.35,116,French,France,22000000,1050445,11000,773,http://www.imdb.com/title/tt0424205/?ref_=fn_tt_tt_1,Christian Carion,Gary Lewis,Dany Boon,Ian Richardson
The Grudge,2004,1,1.85,98,English,USA,10000000,110175871,4000,7461,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,Takashi Shimizu,Sarah Michelle Gellar,Clea DuVall,Ted Raimi
51 Birch Street,2005,1,,90,English,Germany,,84689,70,0,http://www.imdb.com/title/tt0468442/?ref_=fn_tt_tt_1,Doug Block,Carol Block,Ellen Block,Mike Block
Creepshow 2,1987,1,1.85,85,English,USA,3500000,14000000,1000,3617,http://www.imdb.com/title/tt0092796/?ref_=fn_tt_tt_1,Michael Gornick,George Kennedy,Holt McCallany,Dorothy Lamour
Freddy vs. Jason,2003,1,2.35,97,English,USA,30000000,82163317,3000,4692,http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1,Ronny Yu,Katharine Isabelle,Jason Ritter,Zack Ward
The Upside of Anger,2005,1,2.35,118,English,USA,9000000,18761993,549,2944,http://www.imdb.com/title/tt0365885/?ref_=fn_tt_tt_1,Mike Binder,Alicia Witt,Erika Christensen,Joan Allen
Grindhouse,2007,1,2.35,189,English,USA,53000000,25031037,0,22186,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,Robert Rodriguez,Quentin Tarantino,Rosario Dawson,Zoë Bell
Catch-22,1970,1,2.35,122,English,USA,18000000,,0,2032,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam
House Party 2,1991,1,1.85,94,English,USA,5000000,19281235,232,2523,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,George Jackson,William Schallert,Tisha Campbell-Martin,Helen Martin
The Chronicles of Riddick,2004,1,2.35,134,English,USA,105000000,57637485,0,17159,http://www.imdb.com/title/tt0296572/?ref_=fn_tt_tt_1,David Twohy,Vin Diesel,Alexa Davalos,Christina Cox
Babel,2006,1,1.85,143,English,France,25000000,34300771,0,11248,http://www.imdb.com/title/tt0449467/?ref_=fn_tt_tt_1,Alejandro G. Iñárritu,Brad Pitt,Harriet Walter,Dermot Crowley
The Work and the Story,2003,1,,77,English,USA,103000,,0,516,http://www.imdb.com/title/tt0339921/?ref_=fn_tt_tt_1,Nathan Smith Jones,Richard Moll,Frank Gerrish,Christopher Robin Miller
Barbecue,2014,1,2.35,98,French,France,,,348,253,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,Eric Lavaine,Lambert Wilson,Julie Engelbrecht,Lionel Abelanski
Morvern Callar,2002,1,1.85,97,English,UK,,267194,605,841,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,Lynne Ramsay,Samantha Morton,Bryan Dick,Paul Popplewell
Grandma's Boy,2006,1,2.35,90,English,USA,,6088249,0,5202,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,Nicholaus Goossen,Linda Cardellini,Joel David Moore,Shirley Jones
G.I. Joe: The Rise of Cobra,2009,1,2.35,118,English,USA,175000000,150167630,0,26683,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
The Infiltrator,2016,1,2.35,127,English,UK,25000000,14946229,0,2104,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,Brad Furman,Joseph Gilgun,Amy Ryan,Olympia Dukakis
30 Days of Night,2007,1,2.35,113,English,USA,32000000,39568996,0,814,http://www.imdb.com/title/tt0389722/?ref_=fn_tt_tt_1,David Slade,Danny Huston,Mark Rendall,Megan Franich
The Charge of the Light Brigade,1936,0,1.37,100,English,USA,1200000,,204,1621,http://www.imdb.com/title/tt0027438/?ref_=fn_tt_tt_1,Michael Curtiz,Errol Flynn,David Niven,Spring Byington
House at the End of the Drive,2014,1,,91,English,USA,1400000,,223,1159,http://www.imdb.com/title/tt0464054/?ref_=fn_tt_tt_1,David Worth,Jessica Szohr,Jonathan Mangum,Angela Jones
On Her Majesty's Secret Service,1969,1,2.35,142,English,UK,7000000,22800000,0,1769,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,Peter R. Hunt,Telly Savalas,George Lazenby,Desmond Llewelyn
Quills,2000,1,1.85,124,English,UK,13500000,7060876,0,14726,http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1,Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner
Up Close & Personal,1996,1,1.85,124,English,USA,60000000,51045801,829,3653,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1,Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz
Dune,1984,1,2.35,177,English,USA,40000000,27400000,11000,2449,http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,David Lynch,Virginia Madsen,Jürgen Prochnow,José Ferrer
Top Spin,2014,1,,80,English,USA,150000,5858,116,0,http://www.imdb.com/title/tt4219836/?ref_=fn_tt_tt_1,Sara Newens,Ariel Hsing,Xinhua Jiang,Michael Landers
The Veil,2016,1,2.35,93,English,USA,4000000,,0,2651,http://www.imdb.com/title/tt3533916/?ref_=fn_tt_tt_1,Phil Joanou,Lily Rabe,Shannon Woodward,Kira McLean
Delivery Man,2013,1,2.35,105,English,USA,26000000,30659817,0,1006,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,Ken Scott,Jack Reynor,Bobby Moynihan,Matthew Daddario
The Best Little Whorehouse in Texas,1982,1,2.35,114,English,USA,35000000,69700000,0,3688,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,Colin Higgins,Dolly Parton,Barry Corbin,Dom DeLuise
Bad Words,2013,1,2.35,89,English,USA,10000000,7764027,0,2061,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,Jason Bateman,Beth Grant,Philip Baker Hall,Patricia Belcher
Dracula 2000,2000,1,2.35,99,English,USA,28000000,33000377,0,23344,http://www.imdb.com/title/tt0219653/?ref_=fn_tt_tt_1,Patrick Lussier,Gerard Butler,Danny Masterson,Jeri Ryan
Mercury Rising,1998,1,2.35,111,English,USA,60000000,32940507,0,33073,http://www.imdb.com/title/tt0120749/?ref_=fn_tt_tt_1,Harold Becker,Bruce Willis,Miko Hughes,Carrie Preston
Liar Liar,1997,1,1.85,86,English,USA,45000000,181395380,0,2070,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,Tom Shadyac,Maura Tierney,Swoosie Kurtz,Randall 'Tex' Cobb
Alexander,2004,1,2.35,206,English,Germany,155000000,34293771,0,24598,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed
The Young Messiah,2016,1,2.35,111,English,USA,18500000,6462576,0,824,http://www.imdb.com/title/tt1002563/?ref_=fn_tt_tt_1,Cyrus Nowrasteh,Clive Russell,Vincent Walsh,Finn Ireland
Open Road,2013,1,2.35,85,English,Brazil,3000000,,433,844,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,Marcio Garcia,John Savage,Kristi Clainos,Emily Nelson
When the Game Stands Tall,2014,1,1.85,115,English,USA,15000000,30127963,0,525,http://www.imdb.com/title/tt2247476/?ref_=fn_tt_tt_1,Thomas Carter,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain
Fantastic 4: Rise of the Silver Surfer,2007,1,2.35,92,English,USA,130000000,131920333,0,15302,http://www.imdb.com/title/tt0486576/?ref_=fn_tt_tt_1,Tim Story,Chris Evans,Ioan Gruffudd,Andre Braugher
The Cry of the Owl,2009,1,2.35,100,English,UK,11500000,,443,1780,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,Jamie Thraves,Paddy Considine,Caroline Dhavernas,Charlotte Sullivan
Paint Your Wagon,1969,1,2.35,158,English,USA,20000000,,0,17775,http://www.imdb.com/title/tt0064782/?ref_=fn_tt_tt_1,Joshua Logan,Clint Eastwood,Lee Marvin,Ray Walston
Talk Radio,1988,1,1.85,110,English,USA,4000000,3468572,816,1966,http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1,Oliver Stone,Michael Wincott,Zach Grenier,Bill Johnson
Face/Off,1997,1,2.35,138,English,USA,80000000,112225777,11000,17087,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,John Woo,Nicolas Cage,CCH Pounder,Joan Allen
Teeth,2007,1,1.85,94,English,USA,,347578,17000,1511,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,Mitchell Lichtenstein,Jess Weixler,Nathan Parsons,John Hensley
Rush,2013,1,2.35,123,English,UK,38000000,26903709,83000,37206,http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1,Ron Howard,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara
The Merchant of Venice,2004,1,2.35,131,English,USA,18000000,3752725,0,16252,http://www.imdb.com/title/tt0379889/?ref_=fn_tt_tt_1,Michael Radford,Al Pacino,Mackenzie Crook,Kris Marshall
My Dog Tulip,2009,1,1.85,83,English,USA,,246574,675,1370,http://www.imdb.com/title/tt0843358/?ref_=fn_tt_tt_1,Paul Fierlinger,Isabella Rossellini,Peter Gerety,Lynn Redgrave
Conan the Destroyer,1984,1,2.35,103,English,USA,18000000,26400000,2000,2481,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,Richard Fleischer,Mako,Olivia d'Abo,Grace Jones
In Dreams,1999,1,1.85,100,English,USA,30000000,11900000,654,22006,http://www.imdb.com/title/tt0120710/?ref_=fn_tt_tt_1,Neil Jordan,Robert Downey Jr.,Aidan Quinn,Paul Guilfoyle
Exam,2009,1,2.35,101,English,UK,,,14000,2123,http://www.imdb.com/title/tt1258197/?ref_=fn_tt_tt_1,Stuart Hazeldine,Colin Salmon,Luke Mably,Pollyanna McIntosh
The Brass Teapot,2012,1,2.35,101,English,USA,900000,6643,0,4184,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,Ramaa Mosley,Jack McBrayer,Michael Angarano,Alia Shawkat
The Fountain,2006,1,1.85,96,English,USA,35000000,10139254,23000,24640,http://www.imdb.com/title/tt0414993/?ref_=fn_tt_tt_1,Darren Aronofsky,Hugh Jackman,Ellen Burstyn,Mark Margolis
Green Street 3: Never Back Down,2013,1,2.35,93,English,UK,,,0,2284,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,James Nunn,Spencer Wilding,Mark Wingett,Kacey Clarke
The Mirror Has Two Faces,1996,1,1.85,122,English,USA,42000000,41252428,0,13716,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,Barbra Streisand,Jeff Bridges,Austin Pendleton,Mimi Rogers
R.I.P.D.,2013,1,2.35,96,English,USA,130000000,33592415,20000,31549,http://www.imdb.com/title/tt0790736/?ref_=fn_tt_tt_1,Robert Schwentke,Ryan Reynolds,Jeff Bridges,Stephanie Szostak
Sinister,2012,1,2.35,110,English,USA,3000000,48056940,58000,2239,http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1,Scott Derrickson,Danielle Kotch,Victoria Leigh,James Ransone
Neighbors 2: Sorority Rising,2016,1,2.35,92,English,USA,35000000,55291815,0,17860,http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1,Nicholas Stoller,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons
Obitaemyy ostrov,2009,1,,115,Russian,Russia,29500000,,240,599,http://www.imdb.com/title/tt0972558/?ref_=fn_tt_tt_1,Fedor Bondarchuk,Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov
The Wedding Date,2005,1,1.85,90,English,USA,15000000,31585300,0,2666,http://www.imdb.com/title/tt0372532/?ref_=fn_tt_tt_1,Clare Kilner,Jack Davenport,Debra Messing,Holland Taylor
The Imitation Game,2014,1,2.35,114,English,UK,14000000,91121452,165000,20295,http://www.imdb.com/title/tt2084970/?ref_=fn_tt_tt_1,Morten Tyldum,Benedict Cumberbatch,Rory Kinnear,Allen Leech
Sleepers,1996,0,2.35,147,English,USA,44000000,53300852,0,37076,http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,Barry Levinson,Robert De Niro,Brad Pitt,Minnie Driver
Duets,2000,1,1.85,112,English,USA,15000000,4734235,573,1227,http://www.imdb.com/title/tt0134630/?ref_=fn_tt_tt_1,Bruce Paltrow,Lochlyn Munro,Marian Seldes,Huey Lewis
Cavite,2005,1,,80,English,Philippines,7000,70071,74,0,http://www.imdb.com/title/tt0428303/?ref_=fn_tt_tt_1,Neill Dela Llana,Ian Gamazon,Edgar Tancangco,Quynn Ton
The Fan,1996,1,2.35,116,English,USA,55000000,18573791,0,24618,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,Tony Scott,Robert De Niro,Kurt Fuller,Ellen Barkin
Salt,2010,1,2.35,101,English,USA,110000000,118311368,23000,12406,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,Phillip Noyce,Angelina Jolie Pitt,Andre Braugher,August Diehl
The Green Inferno,2013,1,2.35,100,English,USA,6000000,7186670,12000,2082,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,Eli Roth,Daryl Sabara,Richard Burgi,Magda Apanowicz
Out of Africa,1985,1,1.85,161,English,USA,31000000,87100000,0,12518,http://www.imdb.com/title/tt0089755/?ref_=fn_tt_tt_1,Sydney Pollack,Meryl Streep,Michael Gough,Michael Kitchen
Never Back Down 2: The Beatdown,2011,1,1.85,90,English,USA,3000000,,6000,3666,http://www.imdb.com/title/tt1754264/?ref_=fn_tt_tt_1,Michael Jai White,Michael Jai White,Alex Meraz,Jillian Murray
Tsotsi,2005,1,2.35,94,Zulu,UK,3000000,2912363,0,278,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,Gavin Hood,Terry Pheto,Nambitha Mpumlwana,Rapulana Seiphemo
The Hotel New Hampshire,1984,1,1.85,109,English,UK,7500000,5100000,345,2024,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,Tony Richardson,Joely Richardson,Beau Bridges,Nastassja Kinski
My Fellow Americans,1996,1,1.85,101,English,USA,21500000,22294341,758,4629,http://www.imdb.com/title/tt0117119/?ref_=fn_tt_tt_1,Peter Segal,Wilford Brimley,Bradley Whitford,Sela Ward
The Ice Pirates,1984,1,1.85,91,English,USA,9000000,,0,1991,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,Stewart Raffill,Anjelica Huston,John Carradine,Robert Urich
Martin Lawrence Live: Runteldat,2002,1,1.85,113,English,USA,3000000,19184015,63,159,http://www.imdb.com/title/tt0327036/?ref_=fn_tt_tt_1,David Raynr,Nancy O'Dell,Mikki Padilla,Dayna Devon
Legends of the Fall,1994,1,1.85,133,English,USA,30000000,66528842,11000,26388,http://www.imdb.com/title/tt0110322/?ref_=fn_tt_tt_1,Edward Zwick,Anthony Hopkins,Brad Pitt,Julia Ormond
Lethal Weapon 3,1992,1,2.35,121,English,USA,35000000,144731527,0,1446,http://www.imdb.com/title/tt0104714/?ref_=fn_tt_tt_1,Richard Donner,Rene Russo,Nick Chinlund,Stuart Wilson
The Pursuit of Happyness,2006,1,2.35,117,English,USA,55000000,162586036,32000,11036,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,Gabriele Muccino,Will Smith,Kurt Fuller,James Karen
CJ7,2008,1,2.35,86,Cantonese,Hong Kong,,206678,1000,82,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam
Ponyo,2008,1,1.85,101,Japanese,Japan,34000000,15081783,0,13,http://www.imdb.com/title/tt0876563/?ref_=fn_tt_tt_1,Hayao Miyazaki,Rumi Hiiragi,Yûki Amami,Yuria Nara
Haywire,2011,1,2.35,93,English,Ireland,23000000,18934858,0,31187,http://www.imdb.com/title/tt1506999/?ref_=fn_tt_tt_1,Steven Soderbergh,Channing Tatum,Michael Fassbender,Michael Angarano
Ocean's Eleven,2001,1,2.35,116,English,USA,85000000,183405771,0,13028,http://www.imdb.com/title/tt0240772/?ref_=fn_tt_tt_1,Steven Soderbergh,Brad Pitt,Bernie Mac,Elliott Gould
Ladder 49,2004,1,1.85,115,English,USA,55000000,74540762,0,4496,http://www.imdb.com/title/tt0349710/?ref_=fn_tt_tt_1,Jay Russell,Billy Burke,Jay Hernandez,Jacinda Barrett
Elizabethtown,2005,1,1.85,123,English,USA,57000000,26838389,0,12700,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer
Birth,2004,1,1.85,100,English,USA,20000000,5005883,0,2295,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston
Rush Hour 3,2007,1,2.35,91,English,USA,140000000,140080850,0,1125,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir
Days of Thunder,1990,1,2.35,107,English,USA,60000000,82670733,0,14006,http://www.imdb.com/title/tt0099371/?ref_=fn_tt_tt_1,Tony Scott,Tom Cruise,Robert Duvall,Randy Quaid
The Puffy Chair,2005,1,,85,English,USA,15000,192467,297,1064,http://www.imdb.com/title/tt0436689/?ref_=fn_tt_tt_1,Jay Duplass,Mark Duplass,Katie Aselton,Bari Hyman
Battle of the Year,2013,1,1.85,110,English,USA,20000000,8888355,0,3177,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,Benson Lee,Chris Brown,Caity Lotz,Laz Alonso
Indie Game: The Movie,2012,1,16,103,English,Canada,100000,,0,0,http://www.imdb.com/title/tt1942884/?ref_=fn_tt_tt_1,Lisanne Pajot,Jonathan Blow,Edmund McMillen,Phil Fish
The Faculty,1998,1,1.85,104,English,USA,15000000,40064955,0,12170,http://www.imdb.com/title/tt0133751/?ref_=fn_tt_tt_1,Robert Rodriguez,Jordana Brewster,Salma Hayek,Clea DuVall
The Angry Birds Movie,2016,1,1.85,97,English,USA,73000000,107225164,14000,24350,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,Clay Kaytis,Peter Dinklage,Josh Gad,Keegan-Michael Key
Jimmy Neutron: Boy Genius,2001,1,1.85,82,English,USA,30000000,80920948,425,2251,http://www.imdb.com/title/tt0268397/?ref_=fn_tt_tt_1,John A. Davis,Martin Short,Rob Paulsen,Andrea Martin
Horrible Bosses 2,2014,1,2.35,116,English,USA,42000000,54414716,12000,30571,http://www.imdb.com/title/tt2170439/?ref_=fn_tt_tt_1,Sean Anders,Kevin Spacey,Christoph Waltz,Lindsay Sloane
X-Men: The Last Stand,2006,1,2.35,104,English,Canada,210000000,234360014,0,21714,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore
Neal 'N' Nikki,2005,1,2.35,97,English,India,1500000,100358,66,602,http://www.imdb.com/title/tt0470869/?ref_=fn_tt_tt_1,Arjun Sablok,Abhishek Bachchan,Uday Chopra,Samantha McLeod
3 Days to Kill,2014,1,2.35,123,English,USA,28000000,30688364,10000,1286,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,McG,Connie Nielsen,Richard Sammel,Tómas Lemarquis
A Million Ways to Die in the West,2014,1,2.35,136,English,USA,40000000,42615685,24000,28927,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,Seth MacFarlane,Liam Neeson,Charlize Theron,Seth MacFarlane
Jason Goes to Hell: The Final Friday,1993,1,1.85,91,English,USA,2500000,15935068,949,2899,http://www.imdb.com/title/tt0107254/?ref_=fn_tt_tt_1,Adam Marcus,Kane Hodder,Leslie Jordan,Erin Gray
On Deadly Ground,1994,1,2.35,101,English,USA,50000000,38590500,812,1860,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,Steven Seagal,Mike Starr,Joan Chen,Sven-Ole Thorsen
The Great Beauty,2013,1,2.35,172,Italian,Italy,9200000,2835886,29000,456,http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,Paolo Sorrentino,Toni Servillo,Sabrina Ferilli,Serena Grandi
The Nutty Professor,1996,1,1.85,95,English,USA,54000000,128769345,960,3155,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,Tom Shadyac,Jada Pinkett Smith,James Coburn,Dave Chappelle
Wendy and Lucy,2008,1,1.85,80,English,USA,200000,856942,0,460,http://www.imdb.com/title/tt1152850/?ref_=fn_tt_tt_1,Kelly Reichardt,John Robinson,Lucy,Will Oldham
Virgin Territory,2007,1,1.85,97,English,Italy,38000000,,366,4900,http://www.imdb.com/title/tt0437954/?ref_=fn_tt_tt_1,David Leland,Hayden Christensen,Ryan Cartwright,David Walliams
Equilibrium,2002,1,2.35,107,English,USA,20000000,1190018,20000,25088,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee
Mission: Impossible,1996,1,2.35,110,English,USA,80000000,180965237,0,12760,http://www.imdb.com/title/tt0117060/?ref_=fn_tt_tt_1,Brian De Palma,Tom Cruise,Kristin Scott Thomas,Vanessa Redgrave
Gone with the Wind,1939,1,1.37,226,English,USA,3977000,198655278,16000,1862,http://www.imdb.com/title/tt0031381/?ref_=fn_tt_tt_1,Victor Fleming,Hattie McDaniel,George Reeves,Thomas Mitchell
Barbershop,2002,1,1.85,102,English,USA,12000000,75074950,770,2754,http://www.imdb.com/title/tt0303714/?ref_=fn_tt_tt_1,Tim Story,Sean Patrick Thomas,Jason George,Cedric the Entertainer
Mother and Child,2009,1,2.35,125,English,USA,4825000,1110286,0,8876,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,Rodrigo García,Naomi Watts,Jimmy Smits,Carla Gallo
Secretary,2002,1,1.85,104,English,USA,4000000,4046737,15000,2251,http://www.imdb.com/title/tt0274812/?ref_=fn_tt_tt_1,Steven Shainberg,Jeremy Davies,Stephen McHattie,Lesley Ann Warren
TMNT,2007,1,2.35,87,English,Hong Kong,34000000,54132596,0,16571,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,Kevin Munroe,Chris Evans,Sarah Michelle Gellar,Mako
