movie_title,title_year,genres
An American Haunting,2005,Thriller
Suspect Zero,2004,Crime
Suspect Zero,2004,Drama
Suspect Zero,2004,Mystery
Suspect Zero,2004,Thriller
Grave Encounters,2011,Horror
Man on a Ledge,2012,Action
Man on a Ledge,2012,Crime
Man on a Ledge,2012,Thriller
Knock Off,1998,Action
Knock Off,1998,Comedy
Knock Off,1998,Thriller
Phone Booth,2002,Crime
Phone Booth,2002,Thriller
The End of the Affair,1999,Drama
The End of the Affair,1999,Romance
The Perfect Match,2016,Comedy
The Perfect Match,2016,Romance
MacGruber,2010,Action
MacGruber,2010,Comedy
MacGruber,2010,Romance
The Face of an Angel,2014,Drama
Naked Gun 33 1/3: The Final Insult,1994,Comedy
Naked Gun 33 1/3: The Final Insult,1994,Crime
Deuce Bigalow: Male Gigolo,1999,Comedy
Deuce Bigalow: Male Gigolo,1999,Romance
Sherrybaby,2006,Drama
The Order,2003,Action
The Order,2003,Mystery
The Order,2003,Thriller
The Last Exorcism,2010,Drama
The Last Exorcism,2010,Horror
The Last Exorcism,2010,Thriller
Never Let Me Go,2010,Drama
Never Let Me Go,2010,Romance
Never Let Me Go,2010,Sci-Fi
The Virginity Hit,2010,Comedy
Identity,2003,Mystery
Identity,2003,Thriller
Maid in Manhattan,2002,Comedy
Maid in Manhattan,2002,Drama
Maid in Manhattan,2002,Romance
High Crimes,2002,Crime
High Crimes,2002,Drama
High Crimes,2002,Mystery
High Crimes,2002,Thriller
Point Blank,1967,Crime
Point Blank,1967,Thriller
Fat Albert,2004,Comedy
Fat Albert,2004,Family
Fat Albert,2004,Fantasy
Fat Albert,2004,Romance
The Shallows,2016,Drama
The Shallows,2016,Horror
The Shallows,2016,Thriller
Big Miracle,2012,Biography
Big Miracle,2012,Drama
Big Miracle,2012,Romance
The Legend of the Lone Ranger,1981,Action
The Legend of the Lone Ranger,1981,Adventure
The Legend of the Lone Ranger,1981,Western
"Fat, Sick & Nearly Dead",2010,Documentary
Joy Ride,2001,Mystery
Joy Ride,2001,Thriller
Against the Ropes,2004,Biography
Against the Ropes,2004,Drama
Against the Ropes,2004,Romance
Against the Ropes,2004,Sport
Head of State,2003,Comedy
Epic,2013,Adventure
Epic,2013,Animation
Epic,2013,Family
Epic,2013,Fantasy
The Secret of Kells,2009,Adventure
The Secret of Kells,2009,Animation
The Secret of Kells,2009,Family
The Secret of Kells,2009,Fantasy
Josie and the Pussycats,2001,Comedy
Josie and the Pussycats,2001,Music
Frida,2002,Biography
Frida,2002,Drama
Frida,2002,Romance
Dracula Untold,2014,Action
Dracula Untold,2014,Drama
Dracula Untold,2014,Fantasy
Dracula Untold,2014,Horror
Dracula Untold,2014,War
Project X,2012,Comedy
Project X,2012,Crime
An American in Hollywood,2014,Drama
The Lord of the Rings: The Fellowship of the Ring,2001,Action
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure
The Lord of the Rings: The Fellowship of the Ring,2001,Drama
The Lord of the Rings: The Fellowship of the Ring,2001,Fantasy
Alien,1979,Horror
Alien,1979,Sci-Fi
The Flintstones,1994,Comedy
The Flintstones,1994,Family
The Flintstones,1994,Fantasy
Annie,2014,Comedy
Annie,2014,Drama
Annie,2014,Family
Annie,2014,Musical
3 Strikes,2000,Comedy
Hall Pass,2011,Comedy
Hall Pass,2011,Romance
Racing Stripes,2005,Adventure
Racing Stripes,2005,Comedy
Racing Stripes,2005,Drama
Racing Stripes,2005,Family
Racing Stripes,2005,Sport
Annie Get Your Gun,1950,Biography
Annie Get Your Gun,1950,Comedy
Annie Get Your Gun,1950,Musical
Annie Get Your Gun,1950,Romance
Annie Get Your Gun,1950,Western
Goldfinger,1964,Action
Goldfinger,1964,Adventure
Goldfinger,1964,Thriller
The World Is Not Enough,1999,Action
The World Is Not Enough,1999,Adventure
The World Is Not Enough,1999,Thriller
Eye of the Beholder,1999,Drama
Eye of the Beholder,1999,Mystery
Eye of the Beholder,1999,Thriller
Ray,2004,Biography
Ray,2004,Drama
Ray,2004,Music
Imagine Me & You,2005,Comedy
Imagine Me & You,2005,Drama
Imagine Me & You,2005,Romance
Dragon Wars: D-War,2007,Action
Dragon Wars: D-War,2007,Drama
Dragon Wars: D-War,2007,Fantasy
Dragon Wars: D-War,2007,Horror
Dragon Wars: D-War,2007,Thriller
The Other Side of Heaven,2001,Adventure
The Other Side of Heaven,2001,Biography
The Other Side of Heaven,2001,Drama
The Prestige,2006,Drama
The Prestige,2006,Mystery
The Prestige,2006,Sci-Fi
The Prestige,2006,Thriller
Deterrence,1999,Drama
Deterrence,1999,Thriller
London Has Fallen,2016,Action
London Has Fallen,2016,Crime
London Has Fallen,2016,Drama
London Has Fallen,2016,Thriller
Red Sky,2014,Action
Red Sky,2014,Thriller
Lost Souls,2000,Drama
Lost Souls,2000,Horror
Lost Souls,2000,Thriller
Charlotte's Web,2006,Comedy
Charlotte's Web,2006,Family
Charlotte's Web,2006,Fantasy
Happiness,1998,Comedy
Happiness,1998,Drama
Sense and Sensibility,1995,Drama
Sense and Sensibility,1995,Romance
Why Did I Get Married?,2007,Comedy
Why Did I Get Married?,2007,Drama
The Big Bounce,2004,Comedy
The Big Bounce,2004,Crime
Just Looking,1999,Comedy
Just Looking,1999,Drama
In Good Company,2004,Comedy
In Good Company,2004,Drama
In Good Company,2004,Romance
Wristcutters: A Love Story,2006,Comedy
Wristcutters: A Love Story,2006,Drama
Wristcutters: A Love Story,2006,Fantasy
Wristcutters: A Love Story,2006,Romance
Just Married,2003,Comedy
Just Married,2003,Romance
Human Traffic,1999,Comedy
Human Traffic,1999,Music
Dark Blue,2002,Crime
Dark Blue,2002,Drama
Dark Blue,2002,Romance
Dark Blue,2002,Thriller
Real Steel,2011,Action
Real Steel,2011,Drama
Real Steel,2011,Sci-Fi
Real Steel,2011,Sport
Basquiat,1996,Biography
Basquiat,1996,Drama
Nomad: The Warrior,2005,Drama
Nomad: The Warrior,2005,History
Nomad: The Warrior,2005,War
Shooting Fish,1997,Comedy
Shooting Fish,1997,Crime
Shooting Fish,1997,Romance
The Last Stand,2013,Action
The Last Stand,2013,Crime
The Last Stand,2013,Thriller
Heroes of Dirt,2015,Action
Heroes of Dirt,2015,Drama
Heroes of Dirt,2015,Sport
Warlock: The Armageddon,1993,Fantasy
Warlock: The Armageddon,1993,Horror
Zero Dark Thirty,2012,Drama
Zero Dark Thirty,2012,History
Zero Dark Thirty,2012,Thriller
Patch Adams,1998,Biography
Patch Adams,1998,Comedy
Patch Adams,1998,Drama
Patch Adams,1998,Romance
The Last Shot,2004,Comedy
Killing Zoe,1993,Crime
Killing Zoe,1993,Drama
Killing Zoe,1993,Thriller
Youth in Revolt,2009,Comedy
Youth in Revolt,2009,Drama
Youth in Revolt,2009,Romance
The Relic,1997,Horror
The Relic,1997,Mystery
The Relic,1997,Sci-Fi
The Relic,1997,Thriller
The Front Page,1974,Comedy
The Front Page,1974,Drama
The Front Page,1974,Romance
The Smurfs 2,2013,Adventure
The Smurfs 2,2013,Animation
The Smurfs 2,2013,Comedy
The Smurfs 2,2013,Family
The Smurfs 2,2013,Fantasy
Into the Blue,2005,Action
Into the Blue,2005,Adventure
Into the Blue,2005,Crime
Into the Blue,2005,Thriller
Fuel,2008,Documentary
The Exorcism of Emily Rose,2005,Drama
The Exorcism of Emily Rose,2005,Horror
The Exorcism of Emily Rose,2005,Thriller
Jersey Boys,2014,Biography
Jersey Boys,2014,Drama
Jersey Boys,2014,Music
Jersey Boys,2014,Musical
"Cinco de Mayo, La Batalla",2013,Drama
"Cinco de Mayo, La Batalla",2013,History
"Cinco de Mayo, La Batalla",2013,War
The One,2001,Action
The One,2001,Sci-Fi
The One,2001,Thriller
The Man with the Iron Fists,2012,Action
Rang De Basanti,2006,Comedy
Rang De Basanti,2006,Drama
Rang De Basanti,2006,History
Rang De Basanti,2006,Romance
London to Brighton,2006,Crime
London to Brighton,2006,Drama
London to Brighton,2006,Thriller
Miracle at St. Anna,2008,Action
Miracle at St. Anna,2008,Crime
Miracle at St. Anna,2008,Drama
Miracle at St. Anna,2008,Thriller
Miracle at St. Anna,2008,War
Our Family Wedding,2010,Comedy
Our Family Wedding,2010,Romance
Cloverfield,2008,Action
Cloverfield,2008,Adventure
Cloverfield,2008,Horror
Cloverfield,2008,Sci-Fi
Body of Lies,2008,Action
Body of Lies,2008,Drama
Body of Lies,2008,Thriller
Timecrimes,2007,Horror
Timecrimes,2007,Mystery
Timecrimes,2007,Sci-Fi
Timecrimes,2007,Thriller
The Ugly Truth,2009,Comedy
The Ugly Truth,2009,Romance
Syriana,2005,Drama
Syriana,2005,Thriller
How Green Was My Valley,1941,Drama
How Green Was My Valley,1941,Family
Filly Brown,2012,Drama
Filly Brown,2012,Music
Last Vegas,2013,Comedy
Last Vegas,2013,Romance
Beowulf,2007,Action
Beowulf,2007,Adventure
Beowulf,2007,Animation
Beowulf,2007,Fantasy
The Wizard of Oz,1939,Adventure
The Wizard of Oz,1939,Family
The Wizard of Oz,1939,Fantasy
The Wizard of Oz,1939,Musical
Excessive Force,1993,Action
Aladdin,1992,Adventure
Aladdin,1992,Animation
Aladdin,1992,Comedy
Aladdin,1992,Family
Aladdin,1992,Fantasy
Aladdin,1992,Musical
Aladdin,1992,Romance
The Messenger,2009,Drama
The Messenger,2009,Romance
The Messenger,2009,War
Videodrome,1983,Horror
Videodrome,1983,Mystery
Videodrome,1983,Sci-Fi
Videodrome,1983,Thriller
Urban Legend,1998,Horror
Urban Legend,1998,Mystery
Urban Legend,1998,Thriller
Oz the Great and Powerful,2013,Adventure
Oz the Great and Powerful,2013,Family
Oz the Great and Powerful,2013,Fantasy
Diary of a Mad Black Woman,2005,Comedy
Diary of a Mad Black Woman,2005,Drama
Diary of a Mad Black Woman,2005,Romance
Viy,2014,Adventure
Viy,2014,Fantasy
Viy,2014,Mystery
Viy,2014,Thriller
Tae Guk Gi: The Brotherhood of War,2004,Action
Tae Guk Gi: The Brotherhood of War,2004,Drama
Tae Guk Gi: The Brotherhood of War,2004,War
Eve's Bayou,1997,Drama
Demonic,2015,Horror
Demonic,2015,Thriller
"Dude, Where's My Dog?!",2014,Family
42nd Street,1933,Comedy
42nd Street,1933,Musical
42nd Street,1933,Romance
Brotherly Love,2015,Drama
Princess Mononoke,1997,Adventure
Princess Mononoke,1997,Animation
Princess Mononoke,1997,Fantasy
Road to Perdition,2002,Crime
Road to Perdition,2002,Drama
Road to Perdition,2002,Thriller
The Expendables 3,2014,Action
The Expendables 3,2014,Adventure
The Expendables 3,2014,Thriller
Austin Powers: International Man of Mystery,1997,Comedy
Austin Powers: International Man of Mystery,1997,Crime
Thinner,1996,Fantasy
Thinner,1996,Horror
"Legally Blonde 2: Red, White & Blonde",2003,Comedy
Dragonball: Evolution,2009,Action
Dragonball: Evolution,2009,Adventure
Dragonball: Evolution,2009,Fantasy
Dragonball: Evolution,2009,Sci-Fi
Dragonball: Evolution,2009,Thriller
An Everlasting Piece,2000,Comedy
Terminator 2: Judgment Day,1991,Action
Terminator 2: Judgment Day,1991,Sci-Fi
Easy Money,2010,Action
Easy Money,2010,Crime
Easy Money,2010,Drama
Easy Money,2010,Thriller
Far from Heaven,2002,Drama
Far from Heaven,2002,Romance
Confessions of a Dangerous Mind,2002,Biography
Confessions of a Dangerous Mind,2002,Comedy
Confessions of a Dangerous Mind,2002,Crime
Confessions of a Dangerous Mind,2002,Drama
Confessions of a Dangerous Mind,2002,Romance
Confessions of a Dangerous Mind,2002,Thriller
The Express,2008,Biography
The Express,2008,Drama
The Express,2008,Sport
Out of Sight,1998,Crime
Out of Sight,1998,Drama
Out of Sight,1998,Romance
Out of Sight,1998,Thriller
Songcatcher,2000,Drama
Songcatcher,2000,Music
Armored,2009,Action
Armored,2009,Crime
Armored,2009,Thriller
Amen.,2002,Biography
Amen.,2002,Crime
Amen.,2002,Drama
Amen.,2002,War
The X Files,1998,Drama
The X Files,1998,Mystery
The X Files,1998,Sci-Fi
The X Files,1998,Thriller
Blue Like Jazz,2012,Comedy
Blue Like Jazz,2012,Drama
L.A. Confidential,1997,Crime
L.A. Confidential,1997,Drama
L.A. Confidential,1997,Mystery
L.A. Confidential,1997,Thriller
The Crazies,2010,Horror
The Crazies,2010,Thriller
Tadpole,2000,Comedy
Tadpole,2000,Drama
Tadpole,2000,Romance
Armageddon,1998,Action
Armageddon,1998,Adventure
Armageddon,1998,Sci-Fi
Armageddon,1998,Thriller
Machete Kills,2013,Action
Machete Kills,2013,Comedy
Machete Kills,2013,Crime
Machete Kills,2013,Thriller
The Prince and Me,2004,Comedy
The Prince and Me,2004,Family
The Prince and Me,2004,Romance
The Break-Up,2006,Comedy
The Break-Up,2006,Drama
The Break-Up,2006,Romance
Romeo Is Bleeding,1993,Action
Romeo Is Bleeding,1993,Crime
Romeo Is Bleeding,1993,Drama
Romeo Is Bleeding,1993,Thriller
Atonement,2007,Drama
Atonement,2007,Mystery
Atonement,2007,Romance
Atonement,2007,War
Monster,2003,Biography
Monster,2003,Crime
Monster,2003,Drama
Monster,2003,Thriller
The Boxtrolls,2014,Adventure
The Boxtrolls,2014,Animation
The Boxtrolls,2014,Comedy
The Boxtrolls,2014,Family
The Boxtrolls,2014,Fantasy
Selena,1997,Biography
Selena,1997,Drama
Selena,1997,Music
Foodfight!,2012,Action
Foodfight!,2012,Animation
Foodfight!,2012,Comedy
Foodfight!,2012,Family
Foodfight!,2012,Fantasy
Man on Wire,2008,Biography
Man on Wire,2008,Crime
Man on Wire,2008,Documentary
Man on Wire,2008,History
Man on Wire,2008,Thriller
The Ballad of Cable Hogue,1970,Comedy
The Ballad of Cable Hogue,1970,Drama
The Ballad of Cable Hogue,1970,Romance
The Ballad of Cable Hogue,1970,Western
Bill & Ted's Excellent Adventure,1989,Adventure
Bill & Ted's Excellent Adventure,1989,Comedy
Bill & Ted's Excellent Adventure,1989,Music
Bill & Ted's Excellent Adventure,1989,Sci-Fi
The Signal,2014,Sci-Fi
The Signal,2014,Thriller
A Knight's Tale,2001,Action
A Knight's Tale,2001,Adventure
A Knight's Tale,2001,Romance
Albert Nobbs,2011,Drama
Breakdown,1997,Action
Breakdown,1997,Crime
Breakdown,1997,Drama
Breakdown,1997,Mystery
Breakdown,1997,Thriller
Holes,2003,Adventure
Holes,2003,Comedy
Holes,2003,Drama
Holes,2003,Family
Holes,2003,Mystery
Hancock,2008,Action
Hancock,2008,Drama
April Fool's Day,1986,Horror
April Fool's Day,1986,Mystery
Alien 3,1992,Action
Alien 3,1992,Horror
Alien 3,1992,Sci-Fi
Zipper,2015,Drama
Zipper,2015,Thriller
Chuck & Buck,2000,Comedy
Chuck & Buck,2000,Drama
Bride & Prejudice,2004,Comedy
Bride & Prejudice,2004,Drama
Bride & Prejudice,2004,Musical
Bride & Prejudice,2004,Romance
The Singles Ward,2002,Comedy
The Singles Ward,2002,Drama
The Singles Ward,2002,Romance
