actor_facebook_likes,actor_name
783,Ed Begley Jr.
42,Venus Schultheis
6,Mitsuo Iwata
374,Numan Acar
38,Mike Eshaq
96,Darryl Cox
232,Barry Shabaka Henley
258,Bhavkhandan Singh Rakhra
569,Megan Park
357,Chris Kattan
194,Raoul Max Trujillo
5,Mick Lally
704,Daren Kagasoff
197,Thure Lindhardt
16,Lunetta Savino
119,Alexander Wraith
754,Angie Dickinson
400,Mike O'Malley
955,Lisa Edelstein
225,Raven Goodwin
471,Amanda Plummer
654,George C. Scott
0,Katy Helvenston-Wettengal
716,Callum Rennie
57,Trieu Tran
273,Shelley Conn
157,Teyonah Parris
1000,Javier Botet
85,Sanjay Mishra
685,Vincent Chimato
102,Debra Paget
745,Albert Brooks
579,Jacinda Barrett
12,Emily Pearson
163,Adrian Alonso
168,Remo
116,Paul Fix
145,Sonoya Mizuno
288,Fanny Ardant
2000,Natascha McElhone
96,David Murray
525,Alice Englert
19,Olwenya Maina
330,Shô Kosugi
857,Aisha Tyler
114,Tómas Lemarquis
16,Ken Sansom
102,Adam Carolla
924,Jonathan Winters
544,Mark Chinnery
228,Victor Rivers
25,Jan Decleir
141,Georgia Groome
9,Regina Casé
0,Colin Farrell
240,Glenn Plummer
1000,Jack Davenport
24,Yassine Azzouz
640,Chiaki Kuriyama
45,Bethany Blakey
177,Marilyn Burns
277,Peter Gerety
9,Ashley Ashida Dixon
220,Riley Thomas Stewart
55,Kad Merad
1000,Steven Anthony Lawrence
15000,Henry Cavill
16000,Bobbie Phillips
579,Imelda Staunton
193,Paul Freeman
436,Tim DeKay
505,Helena Mattsson
26,Will Oldham
41,Kjell Nilsson
850,Alexa Davalos
37,Frank McHugh
756,Camren Bicondova
421,Dalip Singh
49,Ken Siu
40,Tannishtha Chatterjee
152,Mari Koda
35,Christopher James Baker
92,Jennifer Schwalbach Smith
584,Vincent Pastore
195,Hal Landon Jr.
176,Jesse Hutch
0,Tom Sizemore
86,Benoît Poelvoorde
10,Ryûnosuke Kamiki
371,Ashley Hinshaw
248,Jamie Hector
113,Ricky Catter
1000,Hedy Lamarr
179,Andy Richter
5,Nigel Whitmey
119,David Zucker
9,Pablo Rosso
89,Victor McLaglen
11000,Meryl Streep
903,Frank Langella
884,Kodi Smit-McPhee
60,Angelo Rossitto
2000,Billy Burke
786,James Cagney
520,Derek Jacobi
88,Chris Eigeman
776,Eddie Izzard
657,Brian O'Halloran
98,Joe Armstrong
177,Isaach De Bankolé
3,Hans Kesting
1000,Joel Courtney
132,Ingrid Thulin
2000,Linda Cardellini
72,Alba Rohrwacher
216,Valerie Cruz
660,Jake Busey
244,Desmond Llewelyn
42,Jesse Vint
410,Paul Sanchez
27,Christopher Shea
459,Fred Ward
552,Justin Chon
171,Mark Rolston
60,Rick Aviles
10,Richard Glover
1000,Malese Jow
811,Saffron Burrows
467,Thomas Horn
217,Shane Hartline
259,Flint Beverage
759,Craig Ferguson
270,Ryan Robbins
191,Dustin Lance Black
93,Lara Jill Miller
29,Jung-jae Lee
171,Brian Dorton
27,Alexandru Potocean
104,Samantha Eggar
36,Desmond Askew
26,Sameer Ali Khan
47,Shirley Douglas
427,Kevin McNally
304,Lori Singer
1000,Kieran Culkin
487,Charlie Bewley
2,Vera Ngassa
244,Cheri Oteri
0,David Barnes
217,Marshall Bell
0,Phil Fish
2000,Ioan Gruffudd
350,Mini Anden
194,Jordan Bridges
177,Heike Makatsch
30,Joe Pingue
460,Bryan Callen
567,Christina Cox
117,Brittney Powell
476,Ryan Cartwright
746,Gina Lollobrigida
696,Mehcad Brooks
9,David Mersault
942,Rhys Wakefield
523,Gerald McRaney
432,Jemima West
794,Carl Weathers
117,Brian Stepanek
106,Alicia Ziegler
26,Jessica Wesson
371,Billy Drago
89,Rizwan Manji
374,Carmen Ejogo
78,Reginald Owen
309,Jon Polito
729,Fred Willard
862,Brittany Daniel
45,Bhoomika Chawla
66,The Dalai Lama
442,Tom Noonan
619,Angelo Anthony Pizza
157,Eli Marienthal
21000,Robert Downey Jr.
594,André the Giant
506,Richard Schiff
3000,Rami Malek
94,Ace Marrero
820,Kevin Rankin
129,Jessica McNamee
0,Tshewang Dendup
57,Rodrigo De la Serna
492,Michael Paré
783,Meat Loaf
13000,Gabriel Millman
374,Adam Arkin
97,Carmen Perez
11,Venida Evans
157,Diana Scarwid
17,Brad Lee Wind
505,William Katt
10,Matthew Sunderland
227,Bruno Kirby
506,John Saxon
345,Kate del Castillo
287,Sunny Mabrey
84,Mary Kate Wiles
5,Gavin Newsom
341,Mía Maestro
230,Michael Lerner
270,Margaret Cho
471,Elliott Gould
50,Brandon Middleton
3,Zoë Poledouris
490,Riki Lindhome
127,Reza Sixo Safai
99,Catherine Dent
795,Chris Brochu
94,David Hoffman
303,Linus Roache
38,Hye-jeong Kang
852,Oprah Winfrey
248,Kevin J. O'Connor
138,Alicia Sixtos
531,Bruce Spence
143,Kevin P. Farley
82,Sumalee Montano
328,DeRay Davis
203,Jamie Blackley
734,Zayn Malik
0,Guillaume Denaiffe
241,John Ashton
786,Patton Oswalt
221,Amy Madigan
520,Derek Mears
25,Tony Noble
136,Nicol Williamson
210,Karl Yune
180,Bernie Casey
14,James Lorinz
707,Molly C. Quinn
165,Fernando Rey
328,Stevie Wonder
2000,Demi Moore
1000,Mel Blanc
245,Jenni Rivera
423,Seth Gilliam
179,Andrea Martin
295,Denise Boutte
443,David Hyde Pierce
239,Rollo Weeks
463,Caleb Landry Jones
294,Angela Bettis
0,Patrick Wilson
521,Kenan Thompson
484,Brian Doyle-Murray
171,Alexia Rasmussen
8,Shelby Vischer
536,Billy Brown
111,Ethan Stiefel
261,Joey Fatone
418,Wray Crawford
33,Garry Cooper
255,Paul Winfield
460,Sophie Okonedo
354,Yuri Lowenthal
3,Paul Glover
539,Roger Lloyd Pack
694,Gregory Smith
569,Keri Maletto
61,Brahmanandam
204,Leleti Khumalo
142,Teala Dunn
275,Victor Mature
424,Glenn Howerton
2000,Noel Gugliemi
795,Embeth Davidtz
345,Dabney Coleman
265,Ato Essandoh
308,Patrick Bergin
5000,Aidan Turner
325,Patti LuPone
99,Robert Wahlberg
29,Yangzom Brauen
149,Elina Alminas
503,Cree Summer
269,Geraldine McEwan
113,Annie Golden
0,Jessica Chastain
488,Paz de la Huerta
549,Richard Thomas
125,George W. Bush
907,Buster Keaton
147,David Julian Hirsh
95,Tsianina Joelson
376,Scott Wolf
614,Akie Kotabe
471,Marri Savinar
754,Cliff Robertson
567,David Margulies
108,Duane Jones
304,Natalie Imbruglia
7,Elvis Tsui
54,George DiCenzo
343,Reid Ewing
27,Tim Rice
659,Basil Rathbone
161,Perdita Weeks
55,Georgina Chapman
400,Larry the Cable Guy
174,Harrison Gilbertson
428,Yayaying Rhatha Phongam
926,David Carradine
1000,Jessica Lowndes
277,Nick Chinlund
0,Claudia Lapacó
56,Alma Martinez
807,Rick Gonzalez
280,Whitney Able
220,Linda Harrison
125,Charles Aznavour
627,Tadanobu Asano
272,Rex Harrison
0,Swami Krishnanad
159,Craig Conway
362,Raphael Sbarge
21,Marina Hands
552,Kathleen Quinlan
567,Nia Vardalos
216,Michaela Watkins
766,Colin Salmon
4000,Jordana Brewster
105,Ray Nicholas
458,Collins Pennie
326,Amber Benson
812,Sela Ward
130,Maeve Dermody
16,Mark Caven
102,Wilhelm von Homburg
1000,Angus T. Jones
12,Claudia Stedelin
925,Jackson Nicoll
558,Willow Smith
577,Elden Henson
141,Trine Dyrholm
151,Chita Rivera
332,Jennifer Jones
297,Robert Urich
26,Ivan Okhlobystin
326,Paul Kaye
12000,Nicolas Cage
52,Jacques Gamblin
806,Samaire Armstrong
78,Ji-tae Yu
512,Clint Mansell
1000,Zach Callison
476,Megalyn Echikunwoke
585,Faizon Love
175,Michelle Tabora
805,Bern Cohen
962,Leonard Roberts
649,Ken Howard
759,Marg Helgenberger
847,Christopher Judge
69,DJ Pooh
39,Fernanda Machado
638,Mary Elizabeth Mastrantonio
8000,Will Ferrell
1000,Alison Lohman
3,Chi Chung Lam
99,Andrew Simpson
186,Michael Chernus
110,Art Hindle
10000,Will Smith
91,Ned Bellamy
386,Conleth Hill
10,Rüdiger Vogler
1000,Landon Liboiron
258,Ben Chaplin
415,Nick Cassavetes
5,Fadia Nadda
144,Flavio Parenti
366,Murray Hamilton
253,Michael Mosley
399,Eugenio Derbez
177,Lino Facioli
9,Anthony Powell
516,Fred MacMurray
69,Sean Kingston
168,Mark Hengst
439,Robyn Lively
3000,Alyson Hannigan
471,Alexandra Maria Lara
354,Haley Ramm
56,Saurabh Shukla
418,Omar Benson Miller
985,Martin Starr
187,Lesley-Anne Down
149,Gordon Pinsent
1000,Cary-Hiroyuki Tagawa
658,Michael McKean
263,Raquel Alessi
606,Janet Leigh
114,Kim Hunter
164000,Krista Allen
449,James Kyson
66,Mélissa Désormeaux-Poulin
625,Armando Riesco
295,Diana Ross
62,Sam Lerner
443,Rupert Graves
472,Norman Lloyd
1000,Alexandra Breckenridge
962,Chris Noth
113,Ion Overman
28,Wale Ojo
197,Judith Anderson
111,Chase Armitage
12,Natalya Bondarchuk
13,Kyung-gu Sol
67,Brad Leland
0,Heather Berman
116,Branko Djuric
138,Sarah Steele
0,Sonam Kinga
161,Caitlyn Jenner
82,Jimmy Shubert
924,Nolan Gerard Funk
20,Peter Marquardt
61,Alex Huszar
509,Noah Taylor
390,Collette Wolfe
580,Gary Farmer
630,Ashley Tramonte
2000,Adam Baldwin
32,Robert Turano
834,Ivana Milicevic
588,David Kelly
808,Donald Trump
683,Lindy Booth
555,J.B. Smoove
168,James Karen
76,Nacho Vigalondo
162,Linda Kozlowski
141,Melissa McMeekin
19,Kevin Howarth
36,Bill Allen
975,Zachary Gordon
18,Owen Kline
518,Christine Lakin
97,Jaya Bhaduri
15,Jean-Claude Lecas
556,Bingbing Fan
53,Joie Lee
73,Maxine Bahns
2000,Frank Welker
11,Joe Ochman
278,Eduardo Noriega
607,Piper Mackenzie Harris
745,Billy Crudup
3,Brent Neale
396,Klaus Kinski
664,Haley Bennett
29,Anatoliy Solonitsyn
455,Jennifer Butler
6,Martin Lucey
473,Dallas Barnett
109,Tony Lo Bianco
969,Lena Dunham
680,Trenton Rostedt
29,Johnny Amaro
1000,Ellen Burstyn
113,Tim Gunn
360,Reg E. Cathey
0,Val Kilmer
23,Gustav Fröhlich
250,Kenneth Mitchell
67,Simon Rhee
116,Roy Billing
83,Holmes Osborne
4,Léa Drucker
170,Amelia Warner
260,Louise Brealey
782,Jason Ritter
256,Hope Olaide Wilson
20,Dylan Authors
322,Peter Hermann
154,Paul Anderson
461,James Deen
835,Denis Leary
383,Shanley Caswell
182,Gaia Weiss
190,Isiah Whitlock Jr.
524,Mark Wingett
56,Philippe Nahon
76,Lindsay Felton
146,John DeSantis
281,Billy Barty
755,Takeshi Kaneshiro
976,Mary-Kate Olsen
337,Florence Henderson
595,Roddy McDowall
391,Stephanie Danielson
4,Cheryl Penland
636,Paul Sorvino
917,John Cassavetes
0,Elizabeth Streb
32,Diljit Dosanjh
37,John Bailey
413,Daniel Baldwin
645,Verne Troyer
440,Eric McCormack
634,Asin
2000,Alan D. Purwin
105,Edith Massey
530,Polly Walker
887,Heather O'Rourke
265,Amber Marshall
161,Silvia Colloca
123,Don Francks
25,Jeanne Neilson
51,Kamel Krifa
16,Leopold Stokowski
394,Lou Taylor Pucci
23,Hoke Howell
304,Jodie Whittaker
805,Ed Skrein
261,Miriam Shor
150,Paul Mazursky
741,Aimee Teegarden
316,Hutch Dano
273,Holt McCallany
200,Countess Vaughn
779,Tyler Labine
3000,Katrina Kaif
1000,Joe Mantegna
6,Arthur Agee
204,Martin Compston
414,Kayvan Novak
188,Will Geer
98,Sabrina Ferilli
701,Carter Jenkins
201,Damián Alcázar
236,Reece Ritchie
462,Cristián de la Fuente
75,Akshaye Khanna
327,Jeremy Northam
681,Kelvin Han Yee
477,Conrad Goode
260,Paul Dooley
376,Kacey Clarke
83,Hugo Stiglitz
1000,Anjelica Huston
739,Drea de Matteo
12,Donnie Dunagan
184,Albert Maysles
924,Jon Mack
170,Heather Donahue
681,David Costabile
1000,Julian Morris
553,Alexia Fast
66,Johanna Wokalek
574,Kevin Pollak
267,Chuck Zito
549,Jennifer Hudson
847,Niketa Calame
281,Kelen Coleman
86,Dorothy Lyman
189,Chase Masterson
46000,Craig Stark
206,Michael J. Pollard
322,Jordan Prentice
695,Margaret Hamilton
20,Greg Aronowitz
545,Jared Gilman
161,Rob Brydon
97,Padraic Delaney
7,Miyu Irino
420,Stephanie Leonidas
29,Allegra Carpenter
24,Chiara Caselli
22,Tiffany Bolling
550,Richard Burgi
45,Isabelle Carré
83,Eric Sykes
72,Prabhas
326,Ray Charles
0,Andrej Nahtigal
849,Bobby Batson
14,Matheus Nachtergaele
697,Hayley McFarland
121,Peter McQuinn
49,Lisa Arnold
1000,Tobias Menzies
221,Robert Peters
17,Michel Muller
309,Patch Darragh
159,Nikki Griffin
18000,Kevin Spacey
361,Tony Doupe
185,Barbie Castro
0,Lee Scott
173,Benoît Magimel
1000,Clea DuVall
238,Michael Cerveris
1000,Tom Skerritt
10,Bari Hyman
210,Paul Guilfoyle
197,Frankie Valli
41,Dominic Colón
6000,Naomi Watts
67,Dinesh D'Souza
394,Tempestt Bledsoe
250,Purva Bedi
15,Ali Daniels
433,Lon Chaney Jr.
629,Robbie Kay
906,Gabourey Sidibe
553,Nicholas Simmons
152,Tom Stedham
73,Clive Revill
139,Ron Silver
40,Mark Camacho
448,Angus Macfadyen
696,Monique Candelaria
22,Soleyman Pierini
297,Brock Baker
224,Katie Aselton
3,Ryu Kohata
344,Michael Beach
271,George Chakiris
518,Nastassja Kinski
199,Kirk Baltz
902,Eric Stoltz
1000,Patrick Macnee
258,Luke Edwards
457,Jenny Slate
848,Delroy Lindo
307,Carlos Alazraqui
2,Yuria Nara
61,Paulina Gerzon
453,Jeremy Brett
158,Judie Aronson
505,Jason Behr
416,Andrew Rannells
63,Ingvar Eggert Sigurðsson
0,David Thewlis
756,Noah Ringer
472,Rumer Willis
147,Nicholas Hamilton
22,Virginia Capers
182,Colleen Haskell
200,Jesse Garcia
828,Peter Gallagher
271,Nathaniel Parker
201,Abby Elliott
5,Lionel Abelanski
30,Terence Yin
283,Mustafa Haidari
699,Esai Morales
480,James Corden
170,Dameon Clarke
412,Slash
142,Robert Baker
103,Ashleigh Gryzko
54,J. Smith-Cameron
213,Heather Burns
539,Colm Feore
142,Edgar Buchanan
256,Jay O. Sanders
175,Bill Bailey
0,Francine Blake
494,Greg Jackson
9,Walter Long
1000,Dan Byrd
430,J.D. Evermore
838,Christine Taylor
30,Niamh Cusack
619,Keshia Knight Pulliam
18,Vincent Leclerc
120,Erin Pitt
2000,Ron Howard
181,William Butler
206,Lobo Sebastian
142,Sheldon Leonard
134,Rachel Sterling
954,Brian Dennehy
465,Julianna Guill
637,Megan Mullally
51,Kwok-Kwan Chan
268,Robert Beltran
167,John Garfield
551,Brad Renfro
1000,Peter Cushing
862,Montgomery Clift
210,Nicole Smolen
6,Bruce Kerr
387,Hervé Villechaize
312,Louis Mandylor
426,Alan Hale Jr.
232,Chad Allen
683,James Wilcox
252,Matthew R. Anderson
453,Mario Cimarro
577,David Masterson
362,Method Man
127,Sina Amedson
736,Anna Friel
287,Kelly Rutherford
844,Julian Glover
100,Grigoriy Dobrygin
0,Sean Connery
800,Marie Avgeropoulos
324,Dwight Yoakam
710,Rory Culkin
862,Jarrod Bunch
683,Robert Davi
416,Karl Malden
4,Amy Carson
114,Lola Dueñas
1000,Joshua Mikel
859,Fran Drescher
245,Billy Gardell
2000,Judy Greer
3,Jeremy W. Auman
18,Rudolf Klein-Rogge
1000,Daniel Sharman
94,Tommy Knight
29,Donatas Banionis
107,Robert Clohessy
142,Bill Paterson
92,Matthew Borlenghi
70,Serena Grandi
81,Marcella Lentz-Pope
552,Paul Schneider
11,Wilson Guerrero
459,Stephen Colbert
246,Neil Maskell
3,Rufus Graham
190,Kiersey Clemons
481,Teri Garr
806,Adrian Martinez
582,Romeo Miller
641,Nick Zano
545,Candice Bergen
189,Alex Vincent
10000,Anna Kendrick
405,Brooke Smith
14,David Opatoshu
67,Michael Potts
244,Chelcie Ross
31,Dana Kimmell
31,H.M. Wynant
374,Emily Meade
192,Joe Dinicol
2,Darryl Hunt
295,Chasty Ballesteros
174,Brian Bosworth
16,Jared Burke
680,Michael Roark
9,David Sparrow
262,Jess Harnell
1000,Elena Anaya
161,Khalid Abdalla
62,Matt Day
178,Chris Ellis
26,Jason Tobin
148,Philippe Noiret
308,Patrick Fabian
1000,Josh Gad
174,Horatio Sanz
212,Caroline Goodall
152,Frederick Weller
309,Paulette Goddard
216,Olivia Rose Keegan
2000,Alison Brie
88,Joanna Kulig
49,Sergio Calderón
322,Shannon Tweed
82,Adriana Caselotti
675,Esther Williams
2,Marianne Denicourt
130,Dominik García-Lorido
319,Jean-Louis Trintignant
192,Alun Armstrong
358,Rafe Spall
40,Cecil Kellaway
3,Anwar Congo
604,Jenette Goldstein
6,Andrea Ros
0,Dottie Alexander
266,Andrew Robinson
740,Laura-Leigh
27,Ari Gold
258,Karolina Wydra
455,Sam J. Jones
470,America Olivo
18,Timothy Webber
436,Lillian Gish
616,John Doman
27,Kwesi Ameyaw
402,Topol
748,Harry Lennix
440,Alison Doody
131,Lara Jean Chorostecki
0,Khaira Arby
842,Dom DeLuise
173,Alicia Goranson
21,Chris Thomas
71,Martin Hancock
107,Tom Bower
126,Yeong-ae Lee
422,Alan Ford
87,Nicholas Elia
317,William Atherton
98,Émilie Dequenne
275,A.J. Buckley
660,Scoot McNairy
116,David Wayne
46,Tracy Camilla Johns
164,Nina Hoss
51,Peter Stickles
18,Victoria Lachelle
385,Ryan O'Neal
912,Loretta Devine
92,Amy Hargreaves
240,Eric Cantona
673,Jason Patric
304,Parker Sawyers
18000,Denzel Washington
142,Oana Pellea
198,Daniel Bernhardt
47,Prateik
100,Ser'Darius Blain
625,Emily Ratajkowski
7,William Gates
403,James Robinson
68,Al Gore
269,Birol Ünel
691,Mako
141,Vanessa Hessler
258,Lynn Redgrave
27,David Schneider
5,Sihung Lung
566,Alex Borstein
30,Aleksey Serebryakov
187,Kristin Lehman
591,Curtiss Cook
26,Alessandro Preziosi
313,David Harbour
1000,Daniel Roebuck
113,Claire Bloom
178,Noah Danby
1000,James Frain
12,Khulan Chuluun
0,Daryl Hannah
529,Merritt Wever
275,Ron Moody
215,Wei Tang
650,Ursula Andress
196,Ken Burns
18,Darren Healy
27,Jacques Brel
793,Jean Stapleton
61,Morgana O'Reilly
933,Mary McDonnell
327,Héctor Jiménez
1000,Olivia Newton-John
76,Jan Cornet
8,Brandon Landers
130,Anne Parillaud
259,Melanie Papalia
312,Lee Evans
65,Mikki Padilla
28,Laird John Hamilton
119,Fernanda Montenegro
825,B.J. Novak
279,Maya Angelou
533,Jessica Capshaw
164,DeVaughn Nixon
396,Tori Spelling
51,Shannen Fields
685,Blair Underwood
83,Karen Mok
581,Kevin Dunn
1000,Jim Broadbent
17000,Chloë Grace Moretz
644,Trish Basinger
321,Lisa Wilcox
31,Jordan Carlos
2,Tulku Jamyang Kunga Tenzin
108,Keenan Tracey
396,Tiya Sircar
240,Peter Ostrum
327,Ken Arnold
577,Daniel von Bargen
20,Sebastian Schipper
236,Frederic Forrest
300,Regi Davis
919,Rosie Perez
14,Wolfgang Preiss
27,David Calder
592,Janet Jackson
37,Fabio Testi
86,Debra Monk
0,Zahava Solomon
539,Jonah Bobo
405,Geoff Bell
373,Mark Williams
436,William Baldwin
47,Emily Nelson
0,Yaakov Peri
68,Michael J. Burg
1000,David Oyelowo
576,Maggie Cheung
59,Qiu Yuen
816,Sean Cook
282,Ricky Martin
770,Martin Short
11000,James Franco
690,Scott Porter
734,Quinton Aaron
637,Eugenie Bondurant
164,Nikola Djuricko
274,Michael Michele
0,Stellan Skarsgård
184,Stephen Walters
232,Maury Chaykin
489,Annabeth Gish
58,Mihalis Giannatos
135,Valerie Tian
27,Peter Appel
45,George Brent
165,Griffin Dunne
329,Lisa Ray
2000,Emir Kusturica
11000,Jon Lovitz
174,James Biberi
132,Thomas Brophy
394,Ian Bohen
782,Richard Epcar
373,Eric Johnson
183,April Winchell
133,Corlandos Scott
88,Liz Mullane
46,Loanne Bishop
137,Danielle Savre
147,Josh Hamilton
94,Stuart Wilson
637,Shannon Woodward
207,Christopher Berry
23,Eric Blore
465,Lindsay Sloane
642,Treat Williams
212,Paul Gleason
581,Yaphet Kotto
8,Ann Gillis
452,Dexter Fletcher
529,Charlyne Yi
935,Kim Shaw
79,Lynn Hung
1000,Alexander Gould
573,Rodney Dangerfield
151,Tom Amandes
9,Erin Cipolletti
650,Debra Messing
110,Garrick Hagon
83,Joseph Pilato
206,Brit Morgan
35,Tenoch Huerta
454,Jillian Murray
267,Dyan Cannon
879,Lauren Holly
36,Walter Masterson
174,A. Michael Baldwin
628,Harvey Korman
54,Eva Birthistle
220,Dustin Nguyen
271,Lymari Nadal
566,Sami Gayle
826,Laz Alonso
556,Shirley Jones
572,Matt Berry
775,Aaliyah
105,Nehemiah Persoff
246,Bernard Fox
682,Jacqueline MacInnes Wood
163,Sarah Douglas
20,Matthew Feeney
641,Ricardo Montalban
118,Michele Morrow
581,Rae Dawn Chong
78,Tim Heidecker
45,Jon Brion
419,Peter McNamara
596,Grace Phipps
570,Leo Howard
273,Belén Rueda
87,Ariel Gade
302,Ashley Martin
331,Zoe Lister-Jones
3000,Macaulay Culkin
502,Ken Leung
796,David Gallagher
29,Travis Betz
181,Rachael Carpani
76,Rene Rosado
625,Joe Estevez
342,Toby Huss
913,Dean Jones
105,Shane Brolly
16,Zhanna Friske
119,Riteish Deshmukh
69,Huell Howser
586,Anthony 'Citric' Campos
4,Yuriy Tsurilo
106,Christian Clavier
253,Burl Ives
595,Peter Boyle
98,Peter Breitmayer
22,Shazahn Padamsee
4,Adel Karam
308,Rachel Ticotin
785,Paul McCartney
215,James Lew
189,Earl Cameron
65,Nick Damici
384,Phyllis Smith
497,Patrick Fischler
504,Kenny Baker
1000,Zoë Bell
384,George Reeves
108,Billie Whitelaw
989,Common
52,Gabrielle Reece
150,Christopher Rich
159,Jake Weary
228,Russ Tamblyn
0,Bálint Péntek
44,Lucy
212,Leila Arcieri
245,John D'Leo
2,Thierry Harcourt
146,Jean Marsh
786,Adrian Paul
18,Barney Frank
786,Joey Lawrence
173,Ashley Walters
274,Jon Foster
461,Tim McGraw
604,Thomas Robinson
971,Zach Gilford
139,Maria Dizzia
3000,Rufus Sewell
798,Carla Gallo
52,Gerry Lopez
1000,Madeline Carroll
2000,Ruth Wilson
4000,Kirsten Dunst
0,Ronny Dayag
655,Wendi McLendon-Covey
992,Tao Okamoto
1000,Christina Milian
875,Greg Crowe
292,Vincent Perez
488,William Hootkins
431,Joel Paul Reisig
99,Marko Zaror
219,John Aylward
469,Cheyenne Jackson
80,Ji-won Ha
8,Brian Whitaker
982,Katy Mixon
755,Lucas Grabeel
133,Molly Hagan
3,Zan Marolt
289,Guillermo Arriaga
89,Nicholas Farrell
2000,Christian Monzon
0,Carol Block
430,Cody Linley
87,Jack Hawkins
362,Steve-O
1000,Alfre Woodard
110,Matt Bushell
103,Samantha Ivers
1000,Tom Wilkinson
95,Tony Ganios
785,Lily Cole
911,Benjamin Walker
509,Brandy Norwood
337,Wendy Raquel Robinson
1000,Joan Rivers
343,Teddy Sears
997,Chris Brown
0,Graziella Galvani
260,Christo Jivkov
46,Albert Dupontel
114,Alan Hale
537,Melanie Griffith
472,Jim Gaffigan
378,Scott Schwartz
116,Jessie T. Usher
312,Isaac C. Singleton Jr.
255,Ron Lester
201,Everett McGill
213,Josh Segarra
489,Kevin Chamberlin
1000,Mireille Enos
25,Mac McDonald
81,Park Bench
