facenumber_in_poster,content_rating,num_critic_for_reviews,movie_imdb_link,num_user_for_reviews,num_voted_users,imdb_score
0,PG-13,91,http://www.imdb.com/title/tt0303714/?ref_=fn_tt_tt_1,156,22147,6.3
6,R,161,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,65,9727,7.2
1,R,163,http://www.imdb.com/title/tt0274812/?ref_=fn_tt_tt_1,390,67949,7.1
0,PG,191,http://www.imdb.com/title/tt0453556/?ref_=fn_tt_tt_1,211,53786,6.3
1,PG-13,129,http://www.imdb.com/title/tt0852713/?ref_=fn_tt_tt_1,126,63969,5.5
5,PG-13,135,http://www.imdb.com/title/tt1540128/?ref_=fn_tt_tt_1,50,23916,5.7
0,R,476,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1,814,338087,6.6
0,PG-13,211,http://www.imdb.com/title/tt1135487/?ref_=fn_tt_tt_1,184,41727,6.2
1,PG-13,145,http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1,402,91092,6.7
2,R,61,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,78,3413,6.4
0,PG,9,http://www.imdb.com/title/tt0106233/?ref_=fn_tt_tt_1,70,5061,6.2
2,PG-13,68,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,210,15817,6.7
0,PG-13,125,http://www.imdb.com/title/tt0429573/?ref_=fn_tt_tt_1,747,22207,5
0,R,101,http://www.imdb.com/title/tt0324127/?ref_=fn_tt_tt_1,139,16555,5.9
0,Not Rated,116,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,235,40380,6.1
6,PG-13,258,http://www.imdb.com/title/tt1568338/?ref_=fn_tt_tt_1,153,125198,6.6
0,R,67,http://www.imdb.com/title/tt0120724/?ref_=fn_tt_tt_1,141,11512,4.8
0,R,216,http://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1,629,207934,7.1
0,R,90,http://www.imdb.com/title/tt0172396/?ref_=fn_tt_tt_1,165,17740,7.2
6,R,12,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,9,1180,4.5
3,R,163,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,125,35888,5.5
2,Not Rated,78,http://www.imdb.com/title/tt2967008/?ref_=fn_tt_tt_1,25,2863,4.7
5,PG-13,43,http://www.imdb.com/title/tt0110622/?ref_=fn_tt_tt_1,85,76850,6.4
1,R,91,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,202,59380,5.7
1,R,78,http://www.imdb.com/title/tt0423169/?ref_=fn_tt_tt_1,78,10282,6.6
1,R,112,http://www.imdb.com/title/tt0304711/?ref_=fn_tt_tt_1,204,14962,5.1
0,PG-13,311,http://www.imdb.com/title/tt1320244/?ref_=fn_tt_tt_1,300,41509,5.6
0,R,328,http://www.imdb.com/title/tt1334260/?ref_=fn_tt_tt_1,320,109873,7.2
0,R,46,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,13,3467,4.6
0,R,136,http://www.imdb.com/title/tt0309698/?ref_=fn_tt_tt_1,714,177828,7.3
2,PG-13,114,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,242,68417,5.1
1,PG-13,114,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,175,30077,6.3
0,Approved,87,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,128,13640,7.4
1,PG,59,http://www.imdb.com/title/tt0396592/?ref_=fn_tt_tt_1,91,9380,4.3
0,PG-13,186,http://www.imdb.com/title/tt4052882/?ref_=fn_tt_tt_1,139,12983,6.8
3,PG,125,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,66,15231,6.5
0,PG,25,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,41,1400,5
2,,13,http://www.imdb.com/title/tt1227378/?ref_=fn_tt_tt_1,25,6429,7.6
2,R,140,http://www.imdb.com/title/tt0206314/?ref_=fn_tt_tt_1,339,53415,6.6
2,PG-13,76,http://www.imdb.com/title/tt0312329/?ref_=fn_tt_tt_1,50,5917,5.3
1,PG-13,44,http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1,80,15046,5.4
2,PG,203,http://www.imdb.com/title/tt0848537/?ref_=fn_tt_tt_1,113,85833,6.7
0,Not Rated,118,http://www.imdb.com/title/tt0485601/?ref_=fn_tt_tt_1,71,22811,7.7
0,PG-13,93,http://www.imdb.com/title/tt0236348/?ref_=fn_tt_tt_1,242,18900,5.3
0,R,128,http://www.imdb.com/title/tt0120679/?ref_=fn_tt_tt_1,271,61651,7.4
1,PG-13,261,http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1,423,138582,6.3
0,R,229,http://www.imdb.com/title/tt1636826/?ref_=fn_tt_tt_1,261,157051,6.7
0,R,3,http://www.imdb.com/title/tt2125430/?ref_=fn_tt_tt_1,3,100,7.2
2,PG-13,297,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,5060,1238746,8.8
0,R,392,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,1110,563827,8.5
2,PG,35,http://www.imdb.com/title/tt0109813/?ref_=fn_tt_tt_1,85,60884,4.8
6,PG,176,http://www.imdb.com/title/tt1823664/?ref_=fn_tt_tt_1,213,24735,5.2
1,R,22,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,10,1415,4
3,R,237,http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1,143,103230,5.9
0,PG,73,http://www.imdb.com/title/tt0376105/?ref_=fn_tt_tt_1,86,12570,5.2
0,Passed,21,http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1,90,3167,7
2,Approved,164,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,418,139432,7.8
2,PG-13,197,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,683,157519,6.4
1,R,88,http://www.imdb.com/title/tt0120662/?ref_=fn_tt_tt_1,415,13320,4.9
0,PG-13,209,http://www.imdb.com/title/tt0350258/?ref_=fn_tt_tt_1,433,110394,7.7
0,R,85,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,149,23023,6.9
0,PG-13,93,http://www.imdb.com/title/tt0372873/?ref_=fn_tt_tt_1,364,21506,3.6
2,PG,27,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1,85,3203,6.5
1,PG-13,341,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,1100,844052,8.5
0,R,29,http://www.imdb.com/title/tt0158583/?ref_=fn_tt_tt_1,79,2256,6.5
3,R,225,http://www.imdb.com/title/tt3300542/?ref_=fn_tt_tt_1,323,69484,5.9
0,PG-13,7,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1,11,1084,4.1
2,R,100,http://www.imdb.com/title/tt0160484/?ref_=fn_tt_tt_1,167,9338,4.8
0,G,120,http://www.imdb.com/title/tt0413895/?ref_=fn_tt_tt_1,102,27838,6.4
9,,148,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,499,55329,7.8
2,PG,69,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,196,78392,7.7
8,PG-13,41,http://www.imdb.com/title/tt0906108/?ref_=fn_tt_tt_1,100,9811,5.6
5,PG-13,75,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,93,15880,4.9
1,R,20,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,25,1238,6.7
2,PG-13,157,http://www.imdb.com/title/tt0385267/?ref_=fn_tt_tt_1,214,48973,6.5
2,R,117,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,88,46076,7.4
2,PG-13,97,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,205,57479,5.4
2,R,47,http://www.imdb.com/title/tt0188674/?ref_=fn_tt_tt_1,160,19194,7.1
1,R,71,http://www.imdb.com/title/tt0279331/?ref_=fn_tt_tt_1,125,17261,6.6
1,PG-13,327,http://www.imdb.com/title/tt0433035/?ref_=fn_tt_tt_1,426,254841,7.1
4,R,42,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,78,15885,6.9
0,R,30,http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1,32,3322,6
3,PG,43,http://www.imdb.com/title/tt0120122/?ref_=fn_tt_tt_1,53,6705,6.6
2,R,376,http://www.imdb.com/title/tt1549920/?ref_=fn_tt_tt_1,258,114241,6.4
0,PG-13,2,http://www.imdb.com/title/tt1934172/?ref_=fn_tt_tt_1,1,53,7.1
0,R,22,http://www.imdb.com/title/tt0108517/?ref_=fn_tt_tt_1,49,3943,5.3
0,R,558,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,640,216032,7.4
1,PG-13,55,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,375,80580,6.7
10,R,42,http://www.imdb.com/title/tt0357054/?ref_=fn_tt_tt_1,39,3789,5.7
0,R,37,http://www.imdb.com/title/tt0110265/?ref_=fn_tt_tt_1,93,17322,6.5
2,R,192,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,105,64646,6.5
0,R,95,http://www.imdb.com/title/tt0120004/?ref_=fn_tt_tt_1,165,19176,5.7
2,PG,34,http://www.imdb.com/title/tt0071524/?ref_=fn_tt_tt_1,50,9007,7.3
3,PG,125,http://www.imdb.com/title/tt2017020/?ref_=fn_tt_tt_1,59,27257,5.4
3,PG-13,120,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,208,63599,5.8
0,Not Rated,14,http://www.imdb.com/title/tt1294164/?ref_=fn_tt_tt_1,34,578,7.6
0,PG-13,233,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,522,96569,6.7
1,R,249,http://www.imdb.com/title/tt1742044/?ref_=fn_tt_tt_1,190,25465,6.9
1,R,12,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,3,683,6.2
1,PG-13,98,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,294,77684,5.9
3,R,208,http://www.imdb.com/title/tt1258972/?ref_=fn_tt_tt_1,224,53471,5.4
0,Not Rated,33,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,70233,8.4
0,R,68,http://www.imdb.com/title/tt0490166/?ref_=fn_tt_tt_1,72,7308,7
0,R,158,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,182,15697,6
2,PG-13,71,http://www.imdb.com/title/tt1305583/?ref_=fn_tt_tt_1,20,5721,4.9
0,PG-13,459,http://www.imdb.com/title/tt1060277/?ref_=fn_tt_tt_1,2192,296787,7
1,R,238,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,263,174248,7.1
0,R,173,http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1,124,40878,7.2
2,R,174,http://www.imdb.com/title/tt1142988/?ref_=fn_tt_tt_1,169,163665,6.5
0,R,358,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,1250,218379,7
5,Approved,74,http://www.imdb.com/title/tt0033729/?ref_=fn_tt_tt_1,124,15840,7.8
1,R,16,http://www.imdb.com/title/tt1869425/?ref_=fn_tt_tt_1,11,910,5.7
2,PG-13,222,http://www.imdb.com/title/tt1204975/?ref_=fn_tt_tt_1,173,106755,6.6
1,PG-13,287,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,505,142440,6.3
3,Passed,213,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,533,291875,8.1
1,R,19,http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1,23,922,5.1
0,G,124,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,244,260939,8
0,R,217,http://www.imdb.com/title/tt0790712/?ref_=fn_tt_tt_1,92,29608,7.2
0,R,179,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,228,60522,7.3
4,R,101,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,426,47814,5.5
4,PG,525,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,1022,350822,6.4
0,PG-13,62,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,202,10472,5.6
1,,25,http://www.imdb.com/title/tt1224378/?ref_=fn_tt_tt_1,18,3170,5.4
2,R,86,http://www.imdb.com/title/tt0386064/?ref_=fn_tt_tt_1,224,31943,8.1
2,R,31,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,6915,7.3
1,R,58,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,39,7358,5.3
0,PG,2,http://www.imdb.com/title/tt3109200/?ref_=fn_tt_tt_1,4,73,3.2
2,Unrated,65,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,97,7921,7.7
6,R,10,http://www.imdb.com/title/tt3262990/?ref_=fn_tt_tt_1,19,744,7.2
0,PG-13,174,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,570,221552,8.4
0,R,226,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,1009,200359,7.7
15,PG-13,320,http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1,351,127258,6.1
2,PG-13,129,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,425,183425,7
0,R,73,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,122,19805,5.7
2,PG-13,133,http://www.imdb.com/title/tt0333780/?ref_=fn_tt_tt_1,297,46417,4.6
0,PG,130,http://www.imdb.com/title/tt1098327/?ref_=fn_tt_tt_1,524,56451,2.7
4,R,34,http://www.imdb.com/title/tt0218182/?ref_=fn_tt_tt_1,26,1398,6.3
0,R,210,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1,983,744891,8.5
1,R,90,http://www.imdb.com/title/tt1291652/?ref_=fn_tt_tt_1,25,13443,6.7
2,PG-13,181,http://www.imdb.com/title/tt0297884/?ref_=fn_tt_tt_1,378,36542,7.4
0,R,181,http://www.imdb.com/title/tt0270288/?ref_=fn_tt_tt_1,276,71596,7.1
0,PG,86,http://www.imdb.com/title/tt0469903/?ref_=fn_tt_tt_1,45,16673,7.3
1,R,158,http://www.imdb.com/title/tt0120780/?ref_=fn_tt_tt_1,307,71708,7
1,PG-13,39,http://www.imdb.com/title/tt0210299/?ref_=fn_tt_tt_1,78,2794,7.3
6,PG-13,107,http://www.imdb.com/title/tt0913354/?ref_=fn_tt_tt_1,110,26236,5.7
2,Unrated,69,http://www.imdb.com/title/tt0280653/?ref_=fn_tt_tt_1,55,11077,7.3
0,PG-13,142,http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1,297,85720,7
0,PG-13,38,http://www.imdb.com/title/tt1758575/?ref_=fn_tt_tt_1,89,2582,6
2,R,177,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,625,414219,8.3
0,R,308,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,251,93272,6.5
