director_name,director_facebook_likes
Chris Atkins,2
Tommy O'Haver,13
Greg Marcks,9
Jon Turteltaub,226
Walter Hill,394
Max Färberböck,4
Greg Berlanti,112
Rachel Goldenberg,7
John Cromwell,19
Michael Caton-Jones,105
Joel Paul Reisig,431
Ulu Grosbard,22
Scott Ziehl,4
Eric Lartigau,7
Wes Anderson,0
Christian Volckman,2
Vincente Minnelli,136
Patrick Lussier,71
Henry Hobson,9
Tanner Beard,531
Agnieszka Holland,238
Steve McQueen,0
Michael Lehmann,36
Jonathan Mostow,84
Scott Kalvert,9
Lars von Trier,3000
Jerry Rees,115
Leonard Nimoy,12000
Jorge Blanco,2
Joel Schumacher,541
Isaac Florentine,81
Todd Lincoln,57
Wally Pfister,0
Jim Hanon,2
Alex Craig Mann,38
Ira Sachs,60
Glenn Ficarra,43
Robert Heath,0
Tomas Alfredson,140
Trey Parker,406
Tom McLoughlin,41
Robert Marcarelli,0
David Pastor,10
Werner Herzog,0
John Waters,0
P.J. Hogan,29
Jehane Noujaim,63
Kevin Hooks,114
Gregory Jacobs,13
Jason Bateman,0
Reed Cowan,0
Robert Redford,0
André Téchiné,25
Tom McCarthy,310
Colin Strause,25
Mike Gabriel,12
Steve Pink,38
Nimród Antal,190
Danny Cannon,41
Michael J. Bassett,83
Ben Stassen,4
Gareth Edwards,380
Andy Garcia,0
Matt Johnson,8
George A. Romero,0
John Lafia,5
Jun Falkenstein,25
Fred Walton,17
Mel Stuart,21
Jim Goddard,3
Bradley Parker,18
John Sayles,407
Seth MacFarlane,3000
Eric Darnell,35
Brian A Miller,32
Paul Andrew Williams,46
Damian Nieman,0
Richard Eyre,14
Mitchell Lichtenstein,53
Stephen Sommers,208
Barry Skolnick,0
Richard Ayoade,0
John Glen,46
Joe Dante,287
Christian Alvart,22
Pece Dingo,0
Byron Howard,59
Roland Suso Richter,3
Angelina Jolie Pitt,22000
Allan Arkush,13
Nanette Burstein,8
J.C. Chandor,78
Stephen Chow,0
Patty Jenkins,260
Sylvio Tabet,0
Leigh Whannell,482
Betty Thomas,84
John Murlowski,20
C. Fraser Press,0
Hal Haberman,0
Frank LaLoggia,7
Peter Hyams,0
Martin Scorsese,17000
David Wain,136
Ericson Core,38
Bernardo Bertolucci,973
Brad J. Silverman,11
Stuart Gordon,216
Ted Demme,47
Marc Forby,3
Fina Torres,26
David Gelb,26
Jay Roach,116
George Miller,750
Tim Robbins,0
Gregory Widen,10
Gabor Csupo,47
Yimou Zhang,1222
Patrick Stettner,5
Ole Bornedal,60
Jee-woon Kim,419
Michael Anderson,23
John Ottman,83
Harmage Singh Kalirai,11
Jeb Stuart,11
Josh Boone,131
Takashi Shimizu,70
Robert Duvall,3000
Richard Wallace,5
Maggie Carey,38
McG,368
John Luessenhop,34
Harald Reinl,2
Don Michael Paul,70
Chris Carter,251
Joe Nussbaum,18
Burr Steers,23
Gary Sinyor,0
Ward Roberts,12
J Blakeson,5
Tim Story,167
Tim Burton,26000
Bobcat Goldthwait,800
Pou-Soi Cheang,3
Justin Tipping,2
John Laing,0
Amy Heckerling,143
Brett Leonard,32
Henry King,85
Jonathan Kesselman,4
Peter Sohn,113
Hayao Miyazaki,6000
Ian Sharp,9
Takao Okawara,2
David Slade,171
George Roy Hill,131
Chris Miller,50
Franklin J. Schaffner,76
David Moreau,0
Susanne Bier,369
Bill Melendez,36
Luis Valdez,7
Bart Freundlich,38
Andrey Zvyagintsev,445
Richard Raymond,10
Mark Osborne,54
Duncan Jones,0
Robert Stromberg,171
James Wong,70
Jennifer Yuh Nelson,90
David Ayer,906
Dominic Burns,15
Tom Walsh,2
Mitchell Altieri,9
David Hackl,43
Bruce McCulloch,108
Joel Coen,0
Matthew Bright,9
Måns Mårlind,24
Feroz Abbas Khan,0
Avi Nesher,6
Jeff Tremaine,79
Ryûhei Kitamura,129
Joseph Kahn,33
Stefan Schwartz,13
Robert Cary,0
Gareth Evans,338
Lloyd Kaufman,365
Bonnie Hunt,597
Andrew Douglas,15
Tommy Lee Jones,0
Adam Green,134
Diane English,15
Shane Black,1000
Neil Mcenery-West,0
Kevin Jordan,4
Bill Duke,1000
David Nutter,119
Gilles Paquet-Brenner,15
Regardt van den Bergh,12
Lucile Hadzihalilovic,92
Tom DiCillo,32
Tony Krantz,15
Kief Davidson,0
Tod Williams,21
Marcus Dunstan,87
Russell Mulcahy,85
Christopher Landon,52
Molly Bernstein,0
Cary Bell,0
Jeff Wadlow,65
Sidney Lumet,0
Christopher Nolan,22000
Jonathan Lynn,36
Tony Kaye,194
Eldar Rapaport,0
Dan Trachtenberg,16
Matthew O'Callaghan,5
Dan Gilroy,66
Patricia Rozema,22
Steve Carr,41
Steve Miner,49
Robert C. Cooper,49
Ash Brannon,9
David Jacobson,12
Max Joseph,31
Alister Grierson,24
Matthew Vaughn,905
Aaron Schneider,11
Bob Gosse,10
Nora Ephron,0
Mike Leigh,608
Jack Sholder,28
Julie Anne Robinson,30
Brian Helgeland,241
Willard Huyck,8
George Tillman Jr.,88
Robert Fontaine,7
Don Kempf,0
Dennie Gordon,29
Kay Pollak,10
Hal Needham,379
Adam Shankman,163
Frédéric Forestier,0
Stephen Daldry,335
Harold Cronk,18
King Vidor,54
Tom Schulman,45
Josh Schwartz,90
Piyush Dinker Pandya,0
Max Mayer,6
Peter Yates,170
Brendan Malloy,2
Tate Taylor,150
Alex Zamm,43
Jaco Booyens,37
John Huston,1000
Linda Mendoza,17
Allen Coulter,47
Mars Callahan,60
Michael Burke,3
Alan Shapiro,0
Tom Reeve,0
Don Scardino,35
Peter Cousens,5
Mark Tonderai,13
Deb Hagan,0
Michael Curtiz,345
Panos Cosmatos,22
Cathy Malkasian,0
Craig Zobel,25
Matthew Robbins,25
Daniel Columbie,0
Chris Buck,69
Matt Reeves,198
Dean Israelite,16
Karan Johar,160
John D. Hancock,44
Zoran Lisinac,0
Nathan Frankowski,19
Audrey Wells,22
Liz Friedlander,3
Nathan Greno,15
Richard J. Lewis,12
Lawrence Kasdan,759
Bradley Rust Gray,2
Aki Kaurismäki,592
Catherine Jelski,0
David Duchovny,0
John Curran,43
Chris Kentis,9
Marco Schnabel,12
Mikel Rueda,0
Kevin Lima,36
George P. Cosmatos,170
Charles T. Kanganis,18
Richard Schenkman,29
Tommy Wirkola,75
Frank Borzage,57
Valeri Milev,6
Jamin Winans,63
Gavin Wiesen,19
Noam Murro,263
S.R. Bindler,0
Chris Butler,28
Darnell Martin,67
William Eubank,18
Daniel Myrick,19
Michael Crichton,735
Nat Faxon,214
Blaz Zavrsnik,0
Michael Wadleigh,14
Ridley Scott,0
David Fincher,21000
Christopher Hutson,3
Damir Catic,2
William Gazecki,3
Robert Mulligan,89
Leos Carax,227
Nicolae Constantin Tanase,0
Henry Alex Rubin,30
Julian Gilbey,7
Álex de la Iglesia,275
Gary Halvorson,11
James Fargo,109
Dean Wright,0
Tom Holland,85
Jerry Jameson,5
Morgan J. Freeman,204
Stephen Milburn Anderson,0
Anthony Bell,0
Jafar Panahi,397
Steven Zaillian,234
Eric Mendelsohn,5
André Øvredal,12
Alain Resnais,752
Ruggero Deodato,101
David S. Goyer,1374
Alessandro Carloni,5
Don Hall,38
Troy Miller,14
Claude Miller,27
Travis Legge,138
Hideo Nakata,62
Xavier Beauvois,22
Perry Andelin Blake,11
Chris Noonan,108
Joshua Michael Stern,0
Roger Kumble,16
Ricki Stern,15
Khalil Sullins,5
Jonathan Levine,129
Laurent Cantet,39
David LaChapelle,30
James Melkonian,7
Yorgos Lanthimos,252
Jean-Marie Poiré,8
Jacques Perrin,63
Daniel Lee,10
Fred Durst,258
Judd Apatow,0
David Winning,65
Andrew Fleming,26
Caroline Link,11
Sarah Smith,6
Jon Hurwitz,22
Jaume Balagueró,57
Mark Neveldine,83
Adam Jay Epstein,0
Leonard Farlinger,0
Benedek Fliegauf,28
Ted Kotcheff,540
Joe Berlinger,31
Pat O'Connor,7
Hideaki Anno,56
Kevin Macdonald,162
Arjun Sablok,0
Diane Keaton,0
Mike Judge,406
Kristin Rizzo,30
Vincent Gallo,787
Russell Crowe,0
Chris Gorak,21
Brandon Trost,32
Dave Rodriguez,11
Gary Winick,56
Nicholas Hytner,13
Scott Dow,6
Huck Botko,10
John Crowley,34
Michael Dinner,12
Cory Edwards,19
John McNaughton,39
Woo-Suk Kang,0
Jodie Foster,0
Anthony O'Brien,7
Sally Potter,87
Michael Jai White,2000
Jake Scott,26
Joe Charbanic,10
Florence Ayisi,0
Ice Cube,0
Martin Weisz,7
Andrew Bergman,31
Nicolas Winding Refn,0
Lijun Sun,0
Jon Poll,20
Jorge Ramírez Suárez,45
Garry Marshall,0
Ariel Vromen,34
Ethan Coen,1000
Benson Lee,9
Ben Wheatley,214
Andrew Traucki,10
Joseph Gordon-Levitt,23000
Joseph Kosinski,728
Kent Alterman,3
Trent Cooper,0
Gia Coppola,71
Pitof,26
Chan-wook Park,0
Chuan Lu,14
Jeff Nathanson,23
Kevin Donovan,11
Rajkumar Hirani,124
Inna Evlannikova,0
Paul Michael Glaser,343
Ti West,243
Rebecca Miller,58
Rob Bowman,38
Xavier Gens,87
Nick Love,63
Ernest R. Dickerson,226
Kevin Tenney,85
Maïwenn,236
William Bindley,4
William Sachs,14
Alex Garland,232
Duncan Tucker,2
Deryck Broom,11
Sydney Pollack,521
Jessica Bendinger,31
Tom Green,374
Liliana Cavani,59
George Clooney,0
James Bobin,33
Tom Seidman,3
Craig Gillespie,44
Kunihiko Yuyama,8
Sngmoo Lee,19
Lenny Abrahamson,412
David Silverman,30
Ruairi Robinson,7
Bobby Roth,40
Sergey Bodrov,44
Luc Jacquet,10
Frank Capra,964
Craig Mazin,82
Rakeysh Omprakash Mehra,85
Kevin Brodie,0
Harry F. Millarde,0
Mikael Håfström,101
Jeta Amata,20
Eytan Fox,21
Joseph Sargent,114
Thomas Bezucha,15
Miguel Arteta,44
Nnegest Likké,18
John Moore,212
Paul Donovan,4
Victor Nunez,9
John Francis Daley,0
Leon Ford,18
Nate Parker,664
Chatrichalerm Yukol,6
James Wan,0
Courtney Solomon,31
Pawel Pawlikowski,84
Andrew Wilson,387
Eric England,15
Greg Tiernan,5
Doug Block,0
Benni Diez,2
Kris Isacsson,0
Scott Cooper,108
Peter H. Hunt,0
Andrew Currie,8
Katt Shea,52
Menno Meyjes,43
Kinka Usher,18
Boris Rodriguez,5
Pierre Morel,180
Jim Fall,13
Susan Stroman,38
Jeff Schaffer,17
Alan Jacobs,2
Robert Schwentke,124
John Cameron Mitchell,263
Robert Moresco,53
Matthew Watts,0
Jay Oliva,41
Todd Strauss-Schulson,12
Kenneth Branagh,0
Greg Coolidge,27
Vicky Jenson,96
Nicholas Ray,117
Alan J. Pakula,79
Ham Tran,5
Vidhu Vinod Chopra,34
Richard Loncraine,12
John Stockwell,134
Sarah Gavron,34
Kevin Tancharoen,64
Khyentse Norbu,28
Tom Putnam,15
Rich Moore,66
Randall Miller,19
Daryl Wein,38
Joey Lauren Adams,781
Lucky McKee,75
Paul Bunnell,5
Gary Ross,378
Mark Illsley,3
Jamel Debbouze,326
Hugh Johnson,3
Rick Famuyiwa,44
James L. Brooks,274
David F. Sandberg,26
Philip Zlotorynski,0
Sol Tryon,0
Raja Menon,6
Henry Jaglom,69
Kirk Wong,6
Joseph Green,2
Lauren Lazin,2
Michael Patrick Jann,31
Ari Sandel,17
Kurt Voss,0
James Cameron,0
Jon Gunn,16
Jason Zada,4
Emilio Estevez,0
John Sturges,120
Daniel Stamm,13
Ed Gass-Donnelly,8
Terry Zwigoff,72
Benjamin Roberds,0
Stephen Carpenter,12
Morten Tyldum,77
Siddiq Barmak,6
Jack Smight,22
Ronan Chapalain,0
Rakesh Roshan,53
Karyn Kusama,45
Ivan Reitman,425
Justin Zackham,16
Henry Joost,24
John Polson,21
Hugh Hudson,46
Michael Haneke,0
Gary Nelson,20
Julie Taymor,556
Neil Jordan,277
Gavin Hood,151
Paul Haggis,1098
David Webb Peoples,73
Joseph Ruben,29
Milos Forman,869
Penny Marshall,545
Christian Ditter,11
Peter Lord,91
Daniel Espinosa,79
Rachel Perkins,3
William Shatner,0
James DeMonaco,65
Martin Koolhoven,12
Dan Curtis,90
Stanley Donen,134
Gary Fleder,39
Cedric Nicolas-Troyan,19
Peter Segal,88
Natalie Bible',8
Christophe Ali,0
Walter Lang,9
Sylvain White,41
Philip Saville,10
H.M. Coakley,0
Ian Fitzgibbon,11
Hark Tsui,85
Zak Penn,87
Monte Hellman,96
Peter M. Cohen,0
Steve Taylor,14
Brian Caunter,0
Andrew Niccol,487
William Brent Bell,19
James O'Brien,7
Franck Khalfoun,33
Alex Rivera,8
Robert Wise,338
Daisy von Scherler Mayer,18
Michael Kang,269
Bill Plympton,45
George Cukor,165
Andrew Steggall,0
Will Finn,6
Jamaa Fanaka,9
Ryan Fleck,31
Mabrouk El Mechri,19
Timur Bekmambetov,335
Scott Frank,71
Joby Harold,8
Michael Radford,53
Sylvester Stallone,13000
Neil Marshall,197
Matty Rich,10
Jake Kasdan,52
Terron R. Parsons,9
Fedor Bondarchuk,35
Stanley Tong,7
Norman Jewison,278
Jonathan Teplitzky,6
Babak Najafi,24
John Woo,610
Mike Barker,5
Dick Richards,6
Jason Miller,0
Travis Zariwny,4
Jason Trost,91
Stewart Hendler,10
Bob Saget,799
Angelo Pizzo,14
Richard Dutcher,13
Mike Disa,6
Stephen Frears,700
Jesse Dylan,58
Gina Prince-Bythewood,107
Mark Rosman,15
Peter Sollett,6
Patrick Read Johnson,32
Maryam Keshavarz,32
John Dahl,131
Jonathan Meyers,0
Barbra Streisand,0
Michael Polish,35
Norman Ferguson,3
Cassandra Nicolaou,0
Douglas Trumbull,136
Georgia Hilton,406
Bibo Bergeron,10
Yarrow Cheney,11
Anthony Hemingway,143
Dylan Bank,0
Yuefeng Song,0
M. Night Shyamalan,0
Dave Borthwick,3
John Hillcoat,214
Dena Seidel,0
Michel Hazanavicius,405
Herb Freed,5
Gary Trousdale,21
Charles Martin Smith,188
Richard Fleischer,260
George Lucas,0
Niall Johnson,7
Jared Hess,100
Fred Savage,0
Bruce McDonald,49
Sajid Khan,0
Franco Zeffirelli,160
John Whitesell,14
Gene Teigland,0
Shintaro Shimosawa,29
Laslo Benedek,6
Irvin Kershner,883
Billy Bob Thornton,0
Isabel Coixet,148
Demian Lichtenstein,11
Henry Hathaway,83
Rachel Talalay,54
Andrey Konchalovskiy,96
Tara Subkoff,37
Bille Woodruff,23
Bryan Singer,0
George Jackson,0
Steve Boyum,9
Warren Beatty,631
Roland Emmerich,776
Stig Bergqvist,0
Des McAnuff,5
Dave McKean,21
Livingston Oden,0
Derick Martini,20000
Alexander Payne,729
Paul Thomas Anderson,0
Qasim Basir,13
Henry Selick,253
John Schultz,13
Peter Faiman,4
Timothy Björklund,0
Joe Johnston,394
Dany Boon,172
Kurt Wimmer,110
Anthony Hickox,16
Scott Speer,35
Drake Doremus,52
Andrew Erwin,10
Ringo Lam,17
Olivier Assayas,107
Anna Boden,16
Roland Joffé,1192
Atom Egoyan,460
Scott Walker,17
Rita Merson,5
Martin McDonagh,454
Terry George,83
Geoffrey Sax,13
Iain Softley,34
Kevin Rodney Sullivan,8
Denys Arcand,66
Tung-Shing Yee,3
William Dear,50
Charles S. Dutton,534
Randy Moore,13
Ray Griggs,4
John Madden,108
Michael Rymer,48
Tom McGrath,96
Kevin Allen,8
Harold Ramis,11000
Steven Shainberg,30
Kathryn Bigelow,0
Terrence Malick,0
Carl Theodor Dreyer,147
Joe Wright,1368
Kim Farrant,93
Sacha Bennett,22
Quentin Dupieux,248
Frank Whaley,436
Brad Silberling,52
Mike Nichols,0
Steve James,23
Roger Spottiswoode,55
Frank Oz,0
Gnana Rajasekaran,0
Adam Brooks,20
Jeremy Brock,16
Brian Henson,53
Michael O. Sajbel,6
Robert Greenwald,21
Bob Fosse,189
Kabir Sadanand,0
Charles Robert Carner,18
Annabel Jankel,5
Steve Carver,8
Mira Nair,300
Marilyn Agrelo,2
Alejandro Amenábar,448
Robert Iscove,7
Danny DeVito,0
Anthony Russo,94
Roman Polanski,2000
Leslie H. Martinson,7
Billy Wilder,0
Christophe Barratier,25
David Nixon,13
Claudia Llosa,43
William Arntz,0
Nicholas Fackler,6
Michael Dougherty,66
Mike Newell,179
Michael Hoffman Jr.,32
Stanley Kramer,176
Fernando Baez Mella,0
Babar Ahmed,0
Rick Friedberg,8
Roger Christian,64
Brett Ratner,840
Chad Kapper,0
Bille August,55
David Winters,49
Rodrigo Cortés,89
James Ivory,133
Olivier Dahan,61
Andy Tennant,72
Hunter Richards,11
Kimberly Peirce,216
Vadim Perelman,26
Dwight H. Little,27
Steven R. Monroe,68
Michael Ritchie,23
Hironobu Sakaguchi,6
Zal Batmanglij,129
Jonathan Glazer,143
Jennifer Flackett,3
Sut Jhally,3
Hong-jin Na,43
Sean Penn,0
Sharon Greytak,0
Jane Clark,23
Darren Grant,0
Justin Chadwick,56
Mimi Leder,75
Mark L. Lester,73
Craig Johnson,7
Tomm Moore,45
Sheldon Lettich,23
Tony Richardson,62
Jonathan Dayton,36
Jeffrey W. Byrd,2
Eric Styles,4
Alex Kendrick,589
Howard Hawks,393
Steve Martino,20
Dan Rush,7
Patrice Leconte,83
Simon Curtis,64
Jake Goldberger,2
John Lasseter,487
Michael Walker,5
Mike Bruce,6
Rusty Cundieff,38
Jonathan Frakes,906
Baz Luhrmann,2000
Ken Shapiro,2
Mary Lambert,52
Oren Moverman,38
Jackie Earle Haley,0
John Putch,60
Robert Towne,162
Vondie Curtis-Hall,170
Simon Wells,25
Michael Chapman,70
Michael Roemer,0
Carmen Marron,29
Gérard Krawczyk,7
Garth Jennings,37
Ethan Maniquis,20
Peter Hastings,0
Paul Weitz,80
Scott Marshall,7
Benjamin Dickinson,4
Alan Parker,317
Lawrence Guterman,6
Kate Connor,27
Sam Miller,12
Bob Rafelson,30
Ole Christian Madsen,28
James Gunn,571
Harold Becker,34
Juan José Campanella,195
David Bowers,42
Davis Guggenheim,49
Ramaa Mosley,6
John Milius,936
Nathan Smith Jones,7
Alan Yuen,0
Shane Carruth,291
Richard Lester,44
Dave Payne,0
George Ratliff,3
Jonathan Parker,0
Anthony Minghella,333
Dennis Hopper,0
Catherine Owens,0
Andrea Arnold,121
Joon-ho Bong,584
David Sington,90
Clark Baker,0
Sai Varadan,0
Brandon Cronenberg,43
Will Gluck,87
Steve Beck,17
Takashi Yamazaki,7
Jeff Burr,155
François Ozon,341
Lance Mungia,4
Hart Bochner,157
Sharon Maguire,11
Jean-Pierre Jeunet,0
Raymond De Felitta,20
Joshua Marston,13
Emily Young,6
